x:0.5193085,y:0.31185606,z:-0.0346557
x:0.5103959,y:0.29304162,z:-0.052507643
x:0.5136059,y:0.30102065,z:-0.031707674
x:0.4979164,y:0.27838385,z:-0.034098852
x:0.5084657,y:0.28724217,z:-0.054243706
x:0.5064898,y:0.28099516,z:-0.048478678
x:0.5024298,y:0.26723033,z:-0.017065804
x:0.44095162,y:0.27770087,z:0.024239339
x:0.4986949,y:0.25527543,z:-0.006371015
x:0.49625626,y:0.2478783,z:-0.0053473944
x:0.48758867,y:0.22132508,z:0.014502658
x:0.52010614,y:0.3141726,z:-0.034229875
x:0.5206193,y:0.31644976,z:-0.032002475
x:0.5209131,y:0.3178481,z:-0.029250983
x:0.52490866,y:0.32844743,z:-0.025074612
x:0.5255496,y:0.33070835,z:-0.02817004
x:0.5264508,y:0.3336162,z:-0.030872399
x:0.5275255,y:0.33695534,z:-0.030233659
x:0.52804995,y:0.3429337,z:-0.023207529
x:0.51189965,y:0.29677954,z:-0.048576944
x:0.5049915,y:0.29864123,z:-0.035933178
x:0.4032807,y:0.26386952,z:0.07861407
x:0.4665288,y:0.27716535,z:0.012447227
x:0.45768693,y:0.27889538,z:0.013528171
x:0.4493683,y:0.28025657,z:0.016574467
x:0.4373404,y:0.2805786,z:0.025222013
x:0.47405913,y:0.27484664,z:0.013233368
x:0.45017648,y:0.26556978,z:0.01266833
x:0.46016106,y:0.26467663,z:0.012611006
x:0.44084024,y:0.26774055,z:0.015935726
x:0.43524826,y:0.27087042,z:0.01978454
x:0.4308754,y:0.2848775,z:0.029119963
x:0.49531877,y:0.35707468,z:-0.012692897
x:0.43783283,y:0.2777956,z:0.027875237
x:0.40578574,y:0.28912917,z:0.07291455
x:0.42098165,y:0.28349218,z:0.040322468
x:0.46454,y:0.29993668,z:-0.0046103876
x:0.5054155,y:0.3127178,z:-0.03252657
x:0.5081945,y:0.3179558,z:-0.02967681
x:0.492725,y:0.3169024,z:-0.026008153
x:0.48469287,y:0.32064515,z:-0.017229583
x:0.49787694,y:0.3200248,z:-0.02438674
x:0.49018988,y:0.32228792,z:-0.01622234
x:0.47773388,y:0.33573708,z:-0.0033042475
x:0.5031406,y:0.29404074,z:-0.05132843
x:0.5000482,y:0.2886915,z:-0.052671425
x:0.42188403,y:0.26803777,z:0.025434928
x:0.479979,y:0.2842187,z:-0.0019735408
x:0.4825587,y:0.297643,z:-0.027121853
x:0.4808376,y:0.29536846,z:-0.02342044
x:0.43636656,y:0.30420306,z:0.009433689
x:0.49875703,y:0.28281072,z:-0.04510482
x:0.4408324,y:0.25837156,z:0.0095483335
x:0.4290859,y:0.26239824,z:0.017213205
x:0.40939048,y:0.25134155,z:0.063317075
x:0.4804425,y:0.2566543,z:-0.0021229892
x:0.4694172,y:0.2653119,z:0.014510848
x:0.46808577,y:0.3297866,z:-1.2475377E-5
x:0.43328705,y:0.34396407,z:0.07854855
x:0.49088863,y:0.29998305,z:-0.024861699
x:0.4992502,y:0.30073223,z:-0.027318388
x:0.47721958,y:0.32711264,z:-3.303736E-4
x:0.47993213,y:0.32684293,z:-0.0028559016
x:0.42396152,y:0.2601791,z:0.023404064
x:0.48326215,y:0.3007272,z:-0.022863591
x:0.45710304,y:0.2560737,z:0.0030012557
x:0.45417672,y:0.25213906,z:0.0026736972
x:0.4399914,y:0.2312377,z:0.029169096
x:0.4172802,y:0.25475776,z:0.040715538
x:0.44879264,y:0.24009185,z:0.0156245455
x:0.41670513,y:0.26718572,z:0.0346557
x:0.41009063,y:0.2652696,z:0.055521186
x:0.5067001,y:0.31557685,z:-0.0319861
x:0.49529493,y:0.3186155,z:-0.025549572
x:0.48732805,y:0.32151875,z:-0.01749163
x:0.4936516,y:0.30084038,z:-0.023436818
x:0.4786253,y:0.3269337,z:-0.0016429112
x:0.48445722,y:0.32974285,z:-0.007877785
x:0.48133785,y:0.32666397,z:-0.0031752714
x:0.4940768,y:0.29655465,z:-0.03698137
x:0.4923092,y:0.32254708,z:-0.015649112
x:0.4998853,y:0.32067594,z:-0.021880915
x:0.5094529,y:0.3190802,z:-0.026990829
x:0.51376146,y:0.34414804,z:-0.02168438
x:0.5129935,y:0.3378984,z:-0.028235553
x:0.5127434,y:0.33460543,z:-0.028481223
x:0.5127368,y:0.33158368,z:-0.025549572
x:0.5133328,y:0.32939202,z:-0.02271619
x:0.49521324,y:0.3294316,z:-0.012365338
x:0.49339992,y:0.33026692,z:-0.014682815
x:0.49136463,y:0.33188617,z:-0.016468009
x:0.4899562,y:0.33372787,z:-0.014920294
x:0.47578925,y:0.31754693,z:-0.012611006
x:0.4137249,y:0.31721082,z:0.10200176
x:0.51286614,y:0.29884788,z:-0.03737444
x:0.4889542,y:0.32856593,z:-0.006362826
x:0.48658395,y:0.32901877,z:-0.007832746
x:0.5023192,y:0.30268407,z:-0.028743269
x:0.48751953,y:0.30396345,z:-0.017524386
x:0.50099087,y:0.3017197,z:-0.028219175
x:0.47067362,y:0.2888036,z:5.333064E-4
x:0.45637226,y:0.29432672,z:0.0028886576
x:0.4802342,y:0.29854342,z:-0.018818242
x:0.42116004,y:0.24036004,z:0.04549789
x:0.42963517,y:0.24623312,z:0.027695082
x:0.43678725,y:0.25499493,z:0.013225178
x:0.48736793,y:0.3396491,z:-0.0096138455
x:0.47513932,y:0.25015074,z:-0.0032633026
x:0.46870673,y:0.23649901,z:0.00783684
x:0.4612682,y:0.2253556,z:0.018376037
