x:0.455052,y:0.38761443,z:-0.013586555
x:0.43565363,y:0.37413383,z:-0.040670592
x:0.44513997,y:0.37602913,z:-0.017553583
x:0.42275044,y:0.35875708,z:-0.033627238
x:0.4317217,y:0.36993638,z:-0.045165185
x:0.4290782,y:0.36327714,z:-0.044562254
x:0.42470786,y:0.34535322,z:-0.031352535
x:0.38325983,y:0.34652108,z:0.02345959
x:0.41776517,y:0.33274287,z:-0.03170881
x:0.41265124,y:0.32678503,z:-0.03666931
x:0.3982094,y:0.30141044,z:-0.03987582
x:0.4565983,y:0.38940272,z:-0.011729795
x:0.45883796,y:0.3911884,z:-0.008386254
x:0.46096468,y:0.39221403,z:-0.0034223318
x:0.4613467,y:0.3922711,z:-0.0014645114
x:0.46269464,y:0.39487913,z:-8.6286274E-4
x:0.46466976,y:0.39775783,z:-8.611498E-4
x:0.4673336,y:0.40024397,z:0.0024511295
x:0.47200215,y:0.40221566,z:0.013285087
x:0.43906778,y:0.37556416,z:-0.035682693
x:0.4347004,y:0.37561938,z:-0.021952255
x:0.3596662,y:0.3300335,z:0.06308875
x:0.4033989,y:0.3463098,z:0.00827663
x:0.39773387,y:0.34804687,z:0.012113479
x:0.39185676,y:0.3494337,z:0.017073976
x:0.38265783,y:0.34839535,z:0.026912753
x:0.40739906,y:0.34450096,z:0.0052619637
x:0.3855527,y:0.338069,z:0.005203726
x:0.39310154,y:0.33733895,z:6.538915E-4
x:0.37957412,y:0.3396707,z:0.011311851
x:0.3768591,y:0.3416893,z:0.016854728
x:0.38058603,y:0.35204956,z:0.03395611
x:0.4544313,y:0.40857944,z:0.037107807
x:0.38068956,y:0.3461016,z:0.026693502
x:0.3722508,y:0.34928223,z:0.07794284
x:0.37385923,y:0.34897402,z:0.04363045
x:0.41106611,y:0.37044206,z:0.010935019
x:0.44721806,y:0.38768253,z:-0.008776791
x:0.45277724,y:0.39169842,z:-0.0036038968
x:0.44297042,y:0.38908282,z:8.388824E-4
x:0.44111407,y:0.3904157,z:0.010818542
x:0.44875878,y:0.39194733,z:0.0032236378
x:0.44605625,y:0.39207438,z:0.011743497
x:0.43861243,y:0.39584604,z:0.032256935
x:0.4302178,y:0.37471953,z:-0.03792999
x:0.4255287,y:0.3709929,z:-0.041712027
x:0.3665335,y:0.3391731,z:0.020472327
x:0.4164125,y:0.3563236,z:-0.0015484425
x:0.4204578,y:0.37313724,z:-0.011318703
x:0.41935048,y:0.3703528,z:-0.009523606
x:0.39380127,y:0.37186143,z:0.030420728
x:0.42354774,y:0.36466268,z:-0.03883439
x:0.37462384,y:0.33436555,z:-0.00427192
x:0.36837155,y:0.33628026,z:0.0075846273
x:0.3555796,y:0.32299936,z:0.039656572
x:0.40373823,y:0.33386743,z:-0.02315812
x:0.40045428,y:0.33762366,z:5.459801E-4
x:0.43059587,y:0.3921708,z:0.034394607
x:0.41777733,y:0.3840088,z:0.1198193
x:0.42730772,y:0.37488633,z:-0.0096469335
x:0.43324536,y:0.3757028,z:-0.012915106
x:0.44072187,y:0.39244518,z:0.03083182
x:0.44221225,y:0.39242014,z:0.026666097
x:0.36430112,y:0.3335751,z:0.011298149
x:0.42300418,y:0.3744733,z:-0.006176641
x:0.38566998,y:0.33329102,z:-0.014867787
x:0.38190627,y:0.3301362,z:-0.018156515
x:0.36367595,y:0.31131795,z:-0.009612676
x:0.35826585,y:0.32886872,z:0.023048498
x:0.37117273,y:0.3209232,z:-0.015128146
x:0.36309364,y:0.33703113,z:0.027954182
x:0.3603437,y:0.33459404,z:0.04390451
x:0.4497405,y:0.3899352,z:-0.0069782683
x:0.44579732,y:0.39069083,z:0.0017933841
x:0.4433776,y:0.39128482,z:0.01057874
x:0.42967048,y:0.37534556,z:-0.009009743
x:0.44151893,y:0.39242274,z:0.02839268
x:0.44403225,y:0.39389542,z:0.022719625
x:0.4431838,y:0.39249456,z:0.026035758
x:0.4264331,y:0.37420708,z:-0.022240018
x:0.4484897,y:0.39265037,z:0.013333049
x:0.45140433,y:0.39287353,z:0.0070707635
x:0.4553897,y:0.39276123,z:0.001165614
x:0.46279073,y:0.40306887,z:0.017073976
x:0.45912224,y:0.40064496,z:0.006574029
x:0.45687345,y:0.39807928,z:0.0038299968
x:0.45569542,y:0.39517814,z:0.0038265714
x:0.45559725,y:0.39272147,z:0.0031260038
x:0.44845662,y:0.39278698,z:0.014799273
x:0.44739503,y:0.39390242,z:0.014867787
x:0.44675308,y:0.3953283,z:0.015306286
x:0.44677138,y:0.39688826,z:0.018348359
x:0.42868334,y:0.3857623,z:0.013257682
x:0.39561063,y:0.36356714,z:0.12288877
x:0.44181025,y:0.3758855,z:-0.02428177
x:0.4462353,y:0.39256123,z:0.021500055
x:0.44499466,y:0.39318982,z:0.0217056
x:0.43700618,y:0.37713185,z:-0.011825715
x:0.42788023,y:0.3764052,z:-7.566642E-4
x:0.43509156,y:0.37645644,z:-0.012860294
x:0.41222313,y:0.35973218,z:0.006121829
x:0.40373653,y:0.36474597,z:0.014429291
x:0.42096293,y:0.37186784,z:-0.003802591
x:0.35602754,y:0.31685516,z:0.014511509
x:0.36117518,y:0.32420713,z:0.0037957395
x:0.37037432,y:0.33117354,z:-0.0038094423
x:0.44537458,y:0.39897996,z:0.027776044
x:0.39744127,y:0.32901576,z:-0.028611928
x:0.3855246,y:0.3179449,z:-0.029132644
x:0.3773812,y:0.30641153,z:-0.027995292
x:0.3863622,y:0.34944433,z:0.022733327
x:0.37740812,y:0.3559809,z:0.042890485
x:0.40953135,y:0.34305003,z:0.004333583
x:0.37350267,y:0.34370053,z:0.027022375
x:0.4180054,y:0.35321715,z:-0.007769618
x:0.42037567,y:0.37204555,z:-0.02180152
x:0.37623945,y:0.35978776,z:0.057497915
x:0.38173175,y:0.35958213,z:0.035573065
x:0.38928694,y:0.36087033,z:0.024802484
x:0.40046817,y:0.35801107,z:0.015306286
x:0.40789545,y:0.35430768,z:0.008399958
x:0.41236764,y:0.35136607,z:0.0015809871
x:0.41973844,y:0.34728268,z:-0.024391394
x:0.3827658,y:0.36941612,z:0.05996446
x:0.36959994,y:0.34347126,z:0.03261321
x:0.43567422,y:0.37588876,z:-0.033572424
x:0.41900462,y:0.36155954,z:-0.0028039827
x:0.3773057,y:0.34577292,z:0.106006645
x:0.4152126,y:0.348606,z:-0.0033812227
x:0.4223096,y:0.37141433,z:0.0044295047
x:0.3785059,y:0.34612924,z:0.029543735
x:0.41953743,y:0.3685581,z:-0.019869395
x:0.40553743,y:0.37345588,z:0.123765774
x:0.408334,y:0.34145546,z:0.005700461
x:0.42058527,y:0.3662727,z:-0.03083182
x:0.4288298,y:0.39824188,z:0.07465411
x:0.43696484,y:0.4002007,z:0.09164587
x:0.38537934,y:0.36761242,z:0.09263248
x:0.4184841,y:0.3925375,z:0.08567134
x:0.3656578,y:0.3413604,z:0.06308875
x:0.45762315,y:0.4117461,z:0.045384437
x:0.43883178,y:0.37613055,z:-0.02270592
x:0.41669223,y:0.36539015,z:0.0041348897
x:0.37168467,y:0.34978157,z:0.054894343
x:0.39005154,y:0.34626186,z:0.016334012
x:0.3955512,y:0.34520793,z:0.012058667
x:0.44348493,y:0.39452145,z:0.025391717
x:0.39218393,y:0.37731773,z:0.0664871
x:0.4734782,y:0.4157433,z:0.044644475
x:0.45496845,y:0.41003996,z:0.066651545
x:0.44746616,y:0.40587527,z:0.07783321
x:0.4046509,y:0.31414938,z:-0.03943732
x:0.48747665,y:0.41514534,z:0.03623081
x:0.4004568,y:0.34374672,z:0.008660316
x:0.40456527,y:0.34230796,z:0.007057061
x:0.40719253,y:0.34167418,z:0.006741891
x:0.36669266,y:0.3423998,z:0.04239718
x:0.4027875,y:0.34147605,z:0.004559683
x:0.39756605,y:0.34260693,z:0.0052003
x:0.391913,y:0.3438857,z:0.008372552
x:0.38663968,y:0.34502652,z:0.0133399
x:0.38359737,y:0.3457398,z:0.017882455
x:0.36632076,y:0.33729213,z:0.08627428
x:0.38606843,y:0.34656915,z:0.020417515
x:0.44902742,y:0.3793882,z:-0.014114122
x:0.43149525,y:0.38313884,z:0.0045425547
x:0.42591655,y:0.3745015,z:-0.013798951
x:0.4401718,y:0.38102013,z:-0.009009743
x:0.4223711,y:0.33824432,z:-0.028584521
x:0.43963325,y:0.40307683,z:0.06571973
x:0.4484891,y:0.40737298,z:0.05618242
x:0.46913013,y:0.41449192,z:0.033846483
x:0.42825145,y:0.39327148,z:0.107486576
x:0.40639088,y:0.34130666,z:0.0051215077
x:0.41976842,y:0.35574564,z:-0.020897122
x:0.48354366,y:0.4138144,z:0.025843916
x:0.4631925,y:0.41367546,z:0.05497656
x:0.39546686,y:0.37642804,z:0.095373094
x:0.45140433,y:0.39287353,z:0.0088179
x:0.45066318,y:0.3947093,z:0.009263248
x:0.45089817,y:0.39700943,z:0.009831925
x:0.45210472,y:0.399384,z:0.012723263
x:0.45331126,y:0.40175855,z:0.022308534
x:0.44415078,y:0.39217895,z:0.019800879
x:0.44224074,y:0.39189354,z:0.020760091
x:0.44046754,y:0.39145163,z:0.021280807
x:0.42826954,y:0.38890338,z:0.023980303
x:0.39917246,y:0.38053858,z:0.04631624
x:0.41879895,y:0.34993818,z:-0.015689969
x:0.41062707,y:0.3389314,z:-0.0054538064
