x:0.5514338,y:0.360523,z:-0.014500117
x:0.54687905,y:0.34730357,z:-0.044654444
x:0.54785043,y:0.3507457,z:-0.019190462
x:0.5395563,y:0.328819,z:-0.039801344
x:0.5466147,y:0.34224507,z:-0.04959632
x:0.5465138,y:0.33465025,z:-0.048945293
x:0.5470441,y:0.31504464,z:-0.034119666
x:0.4813171,y:0.3114871,z:0.0033550018
x:0.5465882,y:0.30119392,z:-0.034563545
x:0.5460495,y:0.29407609,z:-0.039890118
x:0.545344,y:0.26440376,z:-0.043293208
x:0.5514566,y:0.36238843,z:-0.012487857
x:0.5513509,y:0.36412367,z:-0.008877623
x:0.55120504,y:0.36532673,z:-0.003562146
x:0.5512806,y:0.36945674,z:-6.168098E-4
x:0.5514518,y:0.3717185,z:-7.224628E-5
x:0.5513085,y:0.3745209,z:-2.6471037E-4
x:0.55117524,y:0.37745637,z:0.0032292353
x:0.54878,y:0.38337827,z:0.014581496
x:0.5471584,y:0.34942943,z:-0.03917991
x:0.539401,y:0.3486822,z:-0.02624817
x:0.4544446,y:0.28750622,z:0.034889057
x:0.50895137,y:0.31422412,z:-0.0052267006
x:0.5000239,y:0.31523764,z:-0.003891358
x:0.4911543,y:0.31545,z:-0.0011078534
x:0.4784122,y:0.31302282,z:0.0058555324
x:0.5160646,y:0.31272095,z:-0.005359865
x:0.49483255,y:0.30143365,z:-0.012295508
x:0.50518167,y:0.30198556,z:-0.013220261
x:0.48534775,y:0.3021273,z:-0.008529916
x:0.47932908,y:0.30400413,z:-0.004168784
x:0.47289303,y:0.3160206,z:0.01161489
x:0.51861095,y:0.3886324,z:0.030716576
x:0.4778762,y:0.31063652,z:0.005759358
x:0.45206505,y:0.31085476,z:0.050513674
x:0.46476558,y:0.31195012,z:0.019072093
x:0.5059705,y:0.33901986,z:-0.0022194057
x:0.54034996,y:0.35965547,z:-0.012739389
x:0.5410219,y:0.36383787,z:-0.0068024783
x:0.5294171,y:0.36078364,z:-0.0060182884
x:0.52203715,y:0.36189336,z:0.0019586256
x:0.53225046,y:0.36378133,z:-0.0025042295
x:0.5254995,y:0.36380973,z:0.0044979956
x:0.5117135,y:0.37107068,z:0.021957321
x:0.5398765,y:0.34713802,z:-0.04358913
x:0.5383213,y:0.34224373,z:-0.048116717
x:0.46827775,y:0.2988707,z:-0.0044979956
x:0.5230625,y:0.32534873,z:-0.010882487
x:0.52232337,y:0.34375975,z:-0.02087721
x:0.5218502,y:0.34063888,z:-0.019160869
x:0.48069397,y:0.33769253,z:0.009321504
x:0.538852,y:0.3351669,z:-0.045542207
x:0.48772025,y:0.29433995,z:-0.023274167
x:0.47591558,y:0.29568893,z:-0.015091959
x:0.46170732,y:0.27936852,z:0.012946533
x:0.5267404,y:0.2988036,z:-0.031397194
x:0.5139607,y:0.30370796,z:-0.010564371
x:0.50550586,y:0.36575463,z:0.021646604
x:0.4693038,y:0.35782474,z:0.099133454
x:0.5287096,y:0.34673902,z:-0.016852686
x:0.5348718,y:0.34832415,z:-0.017207792
x:0.51319027,y:0.3639712,z:0.0197971
x:0.51533914,y:0.36418632,z:0.016897075
x:0.47226822,y:0.29211092,z:-0.012376887
x:0.52244925,y:0.3454228,z:-0.015040173
x:0.50406176,y:0.29501492,z:-0.02883748
x:0.50268525,y:0.29091603,z:-0.03261047
x:0.4943282,y:0.2681578,z:-0.027712978
x:0.46819684,y:0.2868437,z:-0.0017357602
x:0.50045556,y:0.28024,z:-0.031012496
x:0.4643461,y:0.29623252,z:0.0018633761
x:0.46020183,y:0.29313293,z:0.01725218
x:0.54052615,y:0.36198375,z:-0.010704934
x:0.53083885,y:0.362349,z:-0.0044905976
x:0.5236551,y:0.36292088,z:0.0025819086
x:0.5305439,y:0.3474948,z:-0.014929203
x:0.5142647,y:0.36407876,z:0.018169535
x:0.5187235,y:0.36663768,z:0.014145012
x:0.5164135,y:0.36429387,z:0.016586358
x:0.531729,y:0.34593365,z:-0.03021351
x:0.52696896,y:0.36444095,z:0.00653615
x:0.5336218,y:0.36468148,z:0.001956776
x:0.5417038,y:0.3650211,z:-0.0017690514
x:0.5373665,y:0.38285187,z:0.01553584
x:0.53998816,y:0.37679127,z:0.004327841
x:0.5404762,y:0.3738473,z:0.0014056236
x:0.5412109,y:0.37103072,z:0.0016691781
x:0.5420059,y:0.36901242,z:0.0011679622
x:0.5271603,y:0.36696878,z:0.008744459
x:0.5258016,y:0.36780104,z:0.008722264
x:0.52401006,y:0.36917678,z:0.008700071
x:0.5225935,y:0.37081012,z:0.011148815
x:0.5140481,y:0.3580861,z:0.0028574849
