x:0.51615083,y:0.34203908,z:-0.023447055
x:0.5142646,y:0.32327798,z:-0.04655113
x:0.5156074,y:0.3289808,z:-0.02374326
x:0.51117104,y:0.30501935,z:-0.03538884
x:0.5147738,y:0.31773922,z:-0.049918532
x:0.5164316,y:0.31049758,z:-0.047050007
x:0.5215923,y:0.292304,z:-0.025442548
x:0.46750867,y:0.28752738,z:0.016790211
x:0.5244893,y:0.27730656,z:-0.020859148
x:0.52548,y:0.26953813,z:-0.023228796
x:0.5308985,y:0.24110906,z:-0.016759032
x:0.5161202,y:0.34379846,z:-0.022277819
x:0.516123,y:0.3453482,z:-0.019222219
x:0.5163617,y:0.3462055,z:-0.0147089735
x:0.5155917,y:0.3572956,z:-0.010445164
x:0.51533633,y:0.35967755,z:-0.010850498
x:0.51501405,y:0.3624787,z:-0.011645578
x:0.5148383,y:0.36514643,z:-0.008730287
x:0.5116366,y:0.36794293,z:0.0014664152
x:0.5145522,y:0.32618043,z:-0.041874193
x:0.50858974,y:0.325879,z:-0.028997023
x:0.44368532,y:0.26381853,z:0.059646565
x:0.48944652,y:0.29286256,z:0.0050822734
x:0.48128307,y:0.2930134,z:0.0069062803
x:0.47345734,y:0.2926178,z:0.010336035
x:0.46388203,y:0.28945714,z:0.018785704
x:0.49647945,y:0.29195023,z:0.0047860676
x:0.47818124,y:0.27637437,z:0.0025372393
x:0.4879386,y:0.2772198,z:0.0010123624
x:0.46926272,y:0.27733228,z:0.006602279
x:0.4636437,y:0.27958396,z:0.010944037
x:0.45659375,y:0.29275143,z:0.023961516
x:0.48335558,y:0.37017602,z:0.015761284
x:0.4649147,y:0.2861284,z:0.019954938
x:0.43591556,y:0.2877617,z:0.065976016
x:0.44859692,y:0.2883323,z:0.03364278
x:0.47833478,y:0.31695375,z:-4.1775784E-4
x:0.50571513,y:0.34073675,z:-0.02067207
x:0.506829,y:0.3447375,z:-0.016556364
x:0.4962774,y:0.34180927,z:-0.013726816
x:0.4902843,y:0.34326723,z:-0.005772122
x:0.49930897,y:0.34477997,z:-0.011700142
x:0.49398017,y:0.345215,z:-0.0045483233
x:0.4788301,y:0.35304242,z:0.011957374
x:0.50794065,y:0.32288787,z:-0.045023333
x:0.50703883,y:0.3175595,z:-0.047954217
x:0.45272148,y:0.27466476,z:0.014771333
x:0.49713305,y:0.3035349,z:-0.0051329406
x:0.49296468,y:0.32100382,z:-0.021015046
x:0.49281242,y:0.31803778,z:-0.01852068
x:0.45460775,y:0.31497952,z:0.013680046
x:0.5089912,y:0.31082582,z:-0.04315256
x:0.47065884,y:0.26898566,z:-0.003784423
x:0.45991826,y:0.27076712,z:0.0049770423
x:0.45206895,y:0.25445163,z:0.04047111
x:0.5064902,y:0.2739666,z:-0.015909387
x:0.49627665,y:0.27989528,z:0.0025995986
x:0.47444877,y:0.34676337,z:0.013555328
x:0.44608226,y:0.3393423,z:0.09391294
x:0.4989328,y:0.32440475,z:-0.01839596
x:0.5046385,y:0.3263132,z:-0.020204376
x:0.48371905,y:0.34673893,z:0.011170089
x:0.48592147,y:0.34706157,z:0.007989771
x:0.45621952,y:0.2672696,z:0.009400647
x:0.49307084,y:0.32347447,z:-0.01607308
x:0.4858127,y:0.2693643,z:-0.010967422
x:0.4843987,y:0.26489052,z:-0.01301748
x:0.48352212,y:0.24255295,z:0.0011789784
x:0.45506716,y:0.2607664,z:0.022854641
x:0.48576748,y:0.25397155,z:-0.0064346883
x:0.44888878,y:0.2720057,z:0.022651974
