x:0.44475198,y:0.35274315,z:-0.019056693
x:0.42782718,y:0.3377031,z:-0.039275203
x:0.43956524,y:0.3419583,z:-0.019821793
x:0.42643857,y:0.32107535,z:-0.026636863
x:0.4259327,y:0.33266595,z:-0.042307273
x:0.42801788,y:0.3258696,z:-0.04006864
x:0.43666688,y:0.30864373,z:-0.022513816
x:0.40780938,y:0.30559292,z:0.041598845
x:0.43699294,y:0.29475918,z:-0.018688308
x:0.4344668,y:0.28789377,z:-0.020870265
x:0.43369523,y:0.26187626,z:-0.015967948
x:0.4454727,y:0.35482344,z:-0.017838197
x:0.4470897,y:0.35680354,z:-0.015103668
x:0.44883522,y:0.35801136,z:-0.011157728
x:0.44885147,y:0.35813853,z:-0.010052582
x:0.4487247,y:0.3607006,z:-0.010477638
x:0.44921198,y:0.36362135,z:-0.011384426
x:0.45082986,y:0.36649632,z:-0.009528346
x:0.45471138,y:0.37196448,z:-0.0013628368
x:0.43166548,y:0.3401686,z:-0.035251334
x:0.43000177,y:0.3400442,z:-0.02150785
x:0.39886189,y:0.2889515,z:0.09277563
x:0.424044,y:0.30813193,z:0.021706209
x:0.4181334,y:0.30901042,z:0.026976908
x:0.41269088,y:0.30955034,z:0.03329608
x:0.40710875,y:0.30766684,z:0.04497096
x:0.42862964,y:0.30666783,z:0.0176115
x:0.41198444,y:0.29692212,z:0.023477277
x:0.41902643,y:0.29689276,z:0.017427308
x:0.40638086,y:0.29797995,z:0.030689066
x:0.4037904,y:0.2999386,z:0.036668193
x:0.4037851,y:0.311445,z:0.051743522
x:0.44060844,y:0.37764922,z:0.024327388
x:0.40651697,y:0.3052617,z:0.045566037
x:0.40478468,y:0.30948684,z:0.09957653
x:0.40127823,y:0.30783892,z:0.06387179
x:0.41590285,y:0.33288017,z:0.017696511
x:0.43739393,y:0.35163468,z:-0.01240456
x:0.44124252,y:0.356401,z:-0.008798665
x:0.43269482,y:0.35265592,z:-0.0015665097
x:0.43048337,y:0.3540239,z:0.008819918
x:0.43747097,y:0.35623404,z:-6.796473E-4
x:0.4349191,y:0.35627344,z:0.008153996
x:0.4306126,y:0.36258438,z:0.027019413
x:0.42328054,y:0.3376954,z:-0.035563044
x:0.42063534,y:0.33300823,z:-0.037745
x:0.3960988,y:0.29622278,z:0.04474426
x:0.42671996,y:0.31972158,z:0.0071515725
x:0.41987902,y:0.3359793,z:-0.006722974
x:0.4206516,y:0.33313543,z:-0.0043143216
x:0.4023918,y:0.33253217,z:0.04182554
x:0.42294708,y:0.32665017,z:-0.033097718
x:0.4025058,y:0.2907856,z:0.018334096
x:0.3974765,y:0.29277906,z:0.031907562
x:0.39579728,y:0.28054178,z:0.07152281
x:0.42604837,y:0.2927092,z:-0.0073534744
x:0.42552844,y:0.29797193,z:0.015514555
x:0.42520565,y:0.35807294,z:0.03221927
x:0.43404293,y:0.35208997,z:0.12139608
x:0.42545384,y:0.33869413,z:-0.007229499
x:0.43019575,y:0.3402281,z:-0.0127800265
x:0.42990434,y:0.35660428,z:0.02782702
x:0.43143874,y:0.3566061,z:0.023038052
x:0.39555565,y:0.28975654,z:0.037376616
x:0.42256194,y:0.33785233,z:-0.0026778548
x:0.41142094,y:0.29029688,z:0.0049483636
x:0.40911576,y:0.2864909,z:0.0035474494
x:0.40261355,y:0.2680885,z:0.021295322
x:0.39363396,y:0.2858391,z:0.051941883
x:0.40334958,y:0.27783895,z:0.011511942
x:0.39475626,y:0.29416764,z:0.053727116
x:0.39542115,y:0.29270244,z:0.07163616
x:0.43893087,y:0.35432118,z:-0.011278161
x:0.43499017,y:0.35460854,z:-0.0014150834
x:0.4325115,y:0.35522026,z:0.007714772
x:0.42760277,y:0.33950207,z:-0.00739598
x:0.43069574,y:0.35657224,z:0.025007479
x:0.43223143,y:0.35791638,z:0.017739017
x:0.43223828,y:0.35663763,z:0.022244614
x:0.42303815,y:0.33757737,z:-0.018532455
x:0.43712452,y:0.3570791,z:0.008947436
x:0.43983015,y:0.3573531,z:0.002059752
x:0.44362608,y:0.35771084,z:-0.0049625323
x:0.4469422,y:0.37163973,z:0.004066372
x:0.44310868,y:0.36565825,z:-0.003545678
x:0.4419593,y:0.36289218,z:-0.0049731587
x:0.44227967,y:0.36006656,z:-0.003977819
x:0.44351304,y:0.3577154,z:-0.0037936275
x:0.43701145,y:0.35708365,z:0.009825885
x:0.4354458,y:0.35816982,z:0.009131626
x:0.43408224,y:0.35950348,z:0.008876593
x:0.4334296,y:0.36106405,z:0.0116323745
x:0.4231228,y:0.35023075,z:0.013332599
x:0.42421678,y:0.32858038,z:0.1347712
x:0.43548626,y:0.34116456,z:-0.025418367
x:0.4349439,y:0.35691166,z:0.017200612
x:0.43346646,y:0.357355,z:0.016860567
x:0.43269283,y:0.34198081,z:-0.012794195
x:0.4268285,y:0.34055617,z:3.6683245E-4
x:0.43144837,y:0.34113625,z:-0.013141324
x:0.4219339,y:0.32272792,z:0.015089499
x:0.41258574,y:0.32649428,z:0.024624929
x:0.42215556,y:0.33512008,z:5.66299E-4
x:0.3964892,y:0.27351418,z:0.046642847
x:0.39610434,y:0.28072113,z:0.032162596
x:0.40031773,y:0.28700683,z:0.020870265
x:0.43470228,y:0.3661264,z:0.020218512
x:0.42181912,y:0.28674376,z:-0.01001716
x:0.41536885,y:0.2762977,z:-0.005337999
x:0.4144774,y:0.26444402,z:-1.8817598E-4
x:0.40892708,y:0.30899954,z:0.04001197
x:0.40019512,y:0.3153618,z:0.060754716
x:0.43139824,y:0.30521336,z:0.016407173
x:0.40114343,y:0.3018995,z:0.048258062
x:0.4290428,y:0.31655923,z:0.00109452
x:0.41877118,y:0.33442608,z:-0.016860567
x:0.39901996,y:0.31950045,z:0.07549
x:0.40045717,y:0.31918657,z:0.051828533
x:0.4047794,y:0.32099324,z:0.038736798
x:0.41484824,y:0.3193072,z:0.027090255
x:0.42271122,y:0.31636804,z:0.018744983
x:0.42787713,y:0.31366593,z:0.011434015
x:0.43179047,y:0.31005567,z:-0.014522757
x:0.39909437,y:0.329853,z:0.07458321
x:0.39858297,y:0.30142784,z:0.055399008
x:0.4287016,y:0.3400968,z:-0.03241763
x:0.42573965,y:0.32493904,z:0.0041761785
x:0.41411865,y:0.30783054,z:0.1272902
x:0.43126628,y:0.31084397,z:0.0065423255
x:0.42443296,y:0.33515573,z:0.0080123115
x:0.4050147,y:0.30506682,z:0.048796464
x:0.420375,y:0.3309732,z:-0.0142252175
x:0.42896798,y:0.3399582,z:0.1305773
x:0.43208304,y:0.3034597,z:0.018603297
x:0.42082468,y:0.32827023,z:-0.024837457
x:0.4295334,y:0.3656964,z:0.0706727
x:0.43938977,y:0.3698999,z:0.08518129
x:0.40851867,y:0.32979113,z:0.10637743
x:0.42460096,y:0.3591202,z:0.085691355
x:0.40000343,y:0.30053934,z:0.088128336
x:0.44339025,y:0.3816277,z:0.03083075
x:0.4329746,y:0.34107447,z:-0.023392266
x:0.4226905,y:0.32864216,z:0.010732672
x:0.40062517,y:0.30895203,z:0.075943395
x:0.41240484,y:0.3059822,z:0.032927696
x:0.417444,y:0.30584216,z:0.027571987
x:0.43140832,y:0.35858893,z:0.020445209
x:0.40445757,y:0.33935225,z:0.076566815
x:0.45558223,y:0.38765436,z:0.024936639
x:0.44611904,y:0.38075018,z:0.05344375
x:0.44349825,y:0.37625378,z:0.06778231
x:0.43275058,y:0.2749229,z:-0.019283388
x:0.4672287,y:0.38897276,z:0.0132688405
x:0.4227088,y:0.3052455,z:0.02305222
x:0.4275291,y:0.3042833,z:0.0206294
x:0.4305328,y:0.30377817,z:0.019920971
x:0.39779884,y:0.30062857,z:0.06613876
x:0.42739078,y:0.3032022,z:0.019481748
x:0.4222553,y:0.30392146,z:0.021394502
x:0.41653827,y:0.30453643,z:0.02577258
x:0.41153982,y:0.30499446,z:0.031595852
x:0.40879434,y:0.30529734,z:0.03641316
x:0.40484604,y:0.29753068,z:0.11238489
x:0.4095378,y:0.30577865,z:0.037915025
x:0.44170085,y:0.34577116,z:-0.017668175
x:0.42607597,y:0.34755427,z:0.004409959
x:0.42378157,y:0.33805865,z:-0.010732672
x:0.43352056,y:0.34623015,z:-0.0110231275
x:0.43898588,y:0.30145437,z:-0.017866533
x:0.43530518,y:0.37172723,z:0.057495948
x:0.4395173,y:0.3766706,z:0.0445459
x:0.45018554,y:0.38544375,z:0.015996287
x:0.43716985,y:0.36231896,z:0.1049039
x:0.43033838,y:0.3031468,z:0.019000018
x:0.42735678,y:0.31848124,z:-0.0128154475
