x:0.4639486,y:0.33186403,z:-0.032067552
x:0.4501328,y:0.314251,z:-0.05313469
x:0.45605356,y:0.3207102,z:-0.030013459
x:0.43163842,y:0.2991649,z:-0.03656617
x:0.44603965,y:0.30858532,z:-0.055681083
x:0.44148085,y:0.3017808,z:-0.050724108
x:0.43148768,y:0.28596374,z:-0.021508515
x:0.37439328,y:0.30152896,z:0.022951469
x:0.4227363,y:0.27318358,z:-0.012850786
x:0.41742757,y:0.26581505,z:-0.01337704
x:0.3980867,y:0.23833267,z:0.0020593936
x:0.46539956,y:0.33367476,z:-0.03135456
x:0.46672675,y:0.3355169,z:-0.028621433
x:0.4677993,y:0.33666945,z:-0.024886727
x:0.47552508,y:0.34593895,z:-0.02140666
x:0.47706327,y:0.34823033,z:-0.023528652
x:0.47915956,y:0.35121816,z:-0.025633669
x:0.48136747,y:0.35434526,z:-0.02403793
x:0.48428348,y:0.35947147,z:-0.014989755
x:0.45300335,y:0.31746146,z:-0.04858514
x:0.44634897,y:0.31956762,z:-0.035004385
x:0.3298198,y:0.28903297,z:0.07645963
x:0.3997609,y:0.29953822,z:0.010253467
x:0.39138535,y:0.30191317,z:0.011721887
x:0.38340563,y:0.3038526,z:0.015168002
x:0.37191373,y:0.30475524,z:0.024428377
x:0.40634027,y:0.29678077,z:0.010686354
x:0.37743723,y:0.287853,z:0.009387694
x:0.38747296,y:0.28606266,z:0.008619533
x:0.3690565,y:0.29115102,z:0.013241232
x:0.3647076,y:0.29501882,z:0.01755312
x:0.36680454,y:0.30990514,z:0.029249543
x:0.4578965,y:0.37487623,z:-0.0023490456
x:0.37098756,y:0.30155453,z:0.026669202
x:0.3426656,y:0.31426576,z:0.07530527
x:0.35597956,y:0.30913043,z:0.040606447
x:0.40745264,y:0.32289365,z:-0.0029495696
x:0.45178884,y:0.33360636,z:-0.02952116
x:0.45671022,y:0.33788893,z:-0.026041092
x:0.4429269,y:0.33853462,z:-0.022527073
x:0.43830597,y:0.3428066,z:-0.013818415
x:0.4492764,y:0.34069547,z:-0.020727621
x:0.44433796,y:0.34345585,z:-0.012664051
x:0.43558466,y:0.3570711,z:0.0021527612
x:0.4433232,y:0.31597754,z:-0.05170871
x:0.43815935,y:0.3108347,z:-0.05384768
x:0.3498011,y:0.2935193,z:0.022934495
x:0.41583604,y:0.3050987,z:-0.0032848443
x:0.4247881,y:0.32017422,z:-0.025990164
x:0.42222795,y:0.31772298,z:-0.022594975
x:0.381638,y:0.32943878,z:0.012137797
x:0.43436262,y:0.3044235,z:-0.046921495
x:0.3643371,y:0.2819153,z:0.0046004797
x:0.3544289,y:0.28702506,z:0.013326112
x:0.33039105,y:0.27636102,z:0.058261424
x:0.40377912,y:0.27648178,z:-0.007970204
x:0.39755416,y:0.28618804,z:0.010516594
x:0.42497832,y:0.35238644,z:0.0050885375
x:0.393064,y:0.36433262,z:0.09078732
x:0.4339172,y:0.3217141,z:-0.023460748
x:0.4419424,y:0.3216904,z:-0.025735525
x:0.4357063,y:0.34941506,z:0.0038683922
x:0.43843013,y:0.34872445,z:8.8327937E-4
x:0.3482904,y:0.2853135,z:0.01918281
x:0.42666113,y:0.3228835,z:-0.021135045
x:0.37971762,y:0.27805758,z:-0.0026673444
x:0.3753543,y:0.27447143,z:-0.0038153422
x:0.35294637,y:0.2537579,z:0.019216765
x:0.33916628,y:0.27987596,z:0.035955038
x:0.3650963,y:0.2627855,z:0.0071214065
x:0.3440045,y:0.29297793,z:0.032254282
x:0.3364256,y:0.29058415,z:0.05293098
x:0.45416933,y:0.33601937,z:-0.028757242
x:0.44617924,y:0.33980486,z:-0.022034768
x:0.44119206,y:0.34324795,z:-0.014064565
x:0.4367353,y:0.32225648,z:-0.021848034
x:0.4370682,y:0.34906977,z:0.002251434
x:0.44225276,y:0.35052043,z:-0.003944784
x:0.43961245,y:0.3483409,z:5.1670516E-4
x:0.43547428,y:0.3186379,z:-0.03646432
x:0.44665378,y:0.34337145,z:-0.011569103
x:0.4515678,y:0.34095243,z:-0.017485218
x:0.45866165,y:0.33865106,z:-0.022442192
x:0.4715797,y:0.36202207,z:-0.013427967
x:0.46870026,y:0.35638386,z:-0.022034768
x:0.4669876,y:0.35313118,z:-0.023121228
x:0.46599343,y:0.3500315,z:-0.020829478
x:0.46580496,y:0.34756547,z:-0.018877244
x:0.45114276,y:0.34860158,z:-0.008810513
x:0.44959605,y:0.3498317,z:-0.010567523
x:0.44811213,y:0.3518838,z:-0.011976525
x:0.44735894,y:0.35391822,z:-0.010109172
x:0.4270824,y:0.33995432,z:-0.009421647
x:0.36296722,y:0.33978677,z:0.11061522
x:0.45453456,y:0.3190005,z:-0.036430366
x:0.44609606,y:0.34862426,z:-0.0028965196
x:0.4440907,y:0.34946787,z:-0.0040296637
x:0.4457214,y:0.32324606,z:-0.026567345
x:0.43218753,y:0.32550436,z:-0.015100098
x:0.4439496,y:0.32252216,z:-0.026414562
x:0.40881386,y:0.31064984,z:2.44427E-4
x:0.3968707,y:0.31786764,z:0.0037495606
x:0.4228629,y:0.32074612,z:-0.017400337
x:0.33736923,y:0.26462033,z:0.037856344
x:0.34801403,y:0.27046835,z:0.020999238
x:0.3589589,y:0.27892163,z:0.0075712693
x:0.44582993,y:0.36000383,z:-0.0034461156
x:0.3959454,y:0.2704238,z:-0.010465667
x:0.38434803,y:0.2570664,z:-0.0018705364
x:0.37243688,y:0.24554825,z:0.006879499
x:0.37657678,y:0.30499744,z:0.020031609
x:0.3604765,y:0.31595063,z:0.03490253
x:0.410412,y:0.29424012,z:0.011806766
x:0.3585887,y:0.2998382,z:0.02697477
x:0.41937223,y:0.2998449,z:-0.006866767
x:0.42759547,y:0.31661347,z:-0.03558157
x:0.35469338,y:0.32202554,z:0.045801084
x:0.3672898,y:0.3175749,z:0.025056487
x:0.37857068,y:0.316223,z:0.014819995
x:0.39444807,y:0.31094047,z:0.009048176
x:0.40551424,y:0.3057885,z:0.0060561663
x:0.41297063,y:0.30096522,z:0.0029792774
x:0.42448807,y:0.28949812,z:-0.016992915
x:0.3634429,y:0.3331303,z:0.041149676
x:0.3520572,y:0.30107522,z:0.032508925
x:0.448806,y:0.31835812,z:-0.047600534
x:0.4197547,y:0.30980313,z:-0.008644997
x:0.34204137,y:0.31534573,z:0.108238585
x:0.4178078,y:0.29621947,z:0.0014822116
x:0.4228019,y:0.3215995,z:-0.007567025
x:0.36670387,y:0.30280823,z:0.028757242
x:0.42501613,y:0.3135805,z:-0.03138851
x:0.376604,y:0.35225004,z:0.10334952
x:0.4097475,y:0.29248133,z:0.014735116
x:0.4290912,y:0.30844143,z:-0.04084411
x:0.41688707,y:0.37119663,z:0.037177306
x:0.42430058,y:0.3780315,z:0.052863076
x:0.35966426,y:0.33752388,z:0.07605221
x:0.40145117,y:0.36689854,z:0.050656203
x:0.3386331,y:0.30179742,z:0.067156814
x:0.46101135,y:0.3806224,z:0.0020296858
x:0.45132765,y:0.319646,z:-0.035479713
x:0.4150676,y:0.3158515,z:-0.0051776613
x:0.35083106,y:0.31227925,z:0.05096177
x:0.38238004,y:0.3003419,z:0.016212022
x:0.38928908,y:0.29892534,z:0.013190305
x:0.44088563,y:0.3517888,z:-0.00226841
x:0.37354827,y:0.3439751,z:0.041862667
x:0.4822429,y:0.3846241,z:0.0012031697
x:0.45399252,y:0.38357505,z:0.024343496
x:0.440999,y:0.3816743,z:0.037007548
x:0.40742055,y:0.2514679,z:-0.0063277814
x:0.5004694,y:0.3813436,z:-0.0034991656
x:0.3962905,y:0.2970664,z:0.012129309
x:0.4028211,y:0.29499164,z:0.012986594
x:0.4073585,y:0.29358983,z:0.014752091
x:0.34651008,y:0.3021465,z:0.043050982
x:0.3998755,y:0.29112983,z:0.012214188
x:0.39175794,y:0.2915959,z:0.011212608
x:0.38424203,y:0.29299876,z:0.012324532
x:0.37773067,y:0.2956552,z:0.015320785
x:0.37420997,y:0.29813993,z:0.018775389
x:0.333623,y:0.30130804,z:0.094861545
x:0.3776438,y:0.3011238,z:0.019827897
x:0.45944557,y:0.32512915,z:-0.028230986
x:0.43325007,y:0.33445224,z:-0.015711231
x:0.43283248,y:0.3207322,z:-0.026720129
x:0.44778293,y:0.32842132,z:-0.0262448
x:0.4273195,y:0.27964675,z:-0.013385529
x:0.43281823,y:0.3753691,z:0.026075043
x:0.44648147,y:0.3781056,z:0.014556869
x:0.47825104,y:0.38094378,z:-0.009209447
x:0.40953252,y:0.37289372,z:0.0723175
x:0.40633476,y:0.29175454,z:0.013784463
x:0.42489496,y:0.29911497,z:-0.020999238
x:0.4970966,y:0.37750632,z:-0.013385529
x:0.46727026,y:0.384901,z:0.011025873
x:0.37184483,y:0.34909943,z:0.07197799
x:0.45784262,y:0.34841117,z:-0.014191885
x:0.45673016,y:0.3503691,z:-0.016084703
x:0.4564234,y:0.35296068,z:-0.017587073
x:0.45705834,y:0.35598385,z:-0.016169582
x:0.45759752,y:0.36204785,z:-0.009311303
x:0.4409847,y:0.3461495,z:-0.005292249
x:0.43829745,y:0.34632808,z:-0.004867851
x:0.43587002,y:0.34627318,z:-0.0045835036
x:0.42378864,y:0.3460684,z:-0.0016371171
x:0.38495386,y:0.3434295,z:0.020846454
x:0.42184293,y:0.29419085,z:-0.011221096
x:0.41207516,y:0.28627703,z:0.0074439496
x:0.40808365,y:0.28854597,z:0.011900133
x:0.44320112,y:0.34575513,z:-0.0046514077
x:0.39648065,y:0.35734943,z:0.03349353
x:0.41829532,y:0.28344303,z:-0.0057590874
x:0.45714626,y:0.36836296,z:-0.00508005
x:0.43809396,y:0.2964388,z:-0.0406404
x:0.42825857,y:0.29457524,z:-0.02763683
x:0.43486235,y:0.29147643,z:-0.030573666
x:0.4246828,y:0.30888882,z:-0.022000818
x:0.49297905,y:0.37218198,z:-0.017298482
x:0.48835224,y:0.36547852,z:-0.016076215
x:0.4729368,y:0.36854905,z:-0.012757419
x:0.43137875,y:0.3614892,z:0.007634929
x:0.41918033,y:0.3280481,z:-0.004749019
x:0.4440655,y:0.36598155,z:0.0017644366
x:0.39846024,y:0.3330502,z:0.0012084746
x:0.4148543,y:0.33584842,z:-0.0024318034
x:0.39883754,y:0.34393147,z:0.008628021
x:0.47487634,y:0.37543112,z:-0.012978106
x:0.42228526,y:0.31351876,z:-0.015269858
x:0.4290947,y:0.36793387,z:0.016118655
x:0.4436508,y:0.37178466,z:0.007910787
x:0.4189692,y:0.35566968,z:0.009752677
x:0.3838497,y:0.35292673,z:0.04335655
x:0.41088063,y:0.3599829,z:0.01960721
x:0.385287,y:0.359182,z:0.065493174
x:0.41337776,y:0.34460214,z:0.00223658
x:0.42251664,y:0.30432662,z:-0.0142937405
x:0.43191332,y:0.31828386,z:-0.038060054
x:0.4287275,y:0.32118645,z:-0.027738687
x:0.43225485,y:0.31350484,z:-0.044986237
x:0.40113583,y:0.2828499,z:0.005962799
x:0.3844786,y:0.28288358,z:0.0057251356
x:0.37177482,y:0.2854342,z:0.0075330734
x:0.36255884,y:0.2893629,z:0.012451852
x:0.3580129,y:0.29428622,z:0.019080956
x:0.3620689,y:0.30557546,z:0.033001225
x:0.3498431,y:0.32610425,z:0.07639173
x:0.3722297,y:0.31054068,z:0.023613531
x:0.38137436,y:0.30931142,z:0.016840132
x:0.39252958,y:0.30631548,z:0.011789789
x:0.4028355,y:0.3024456,z:0.009107592
x:0.4102745,y:0.298716,z:0.008186647
x:0.41494608,y:0.29543674,z:0.007261458
x:0.35216078,y:0.32769525,z:0.112991855
x:0.4304383,y:0.32276374,z:-0.02320611
x:0.42737672,y:0.30351335,z:-0.029572086
x:0.437429,y:0.3168016,z:-0.04631036
x:0.44458938,y:0.31867307,z:-0.0433905
x:0.43880498,y:0.31796104,z:-0.041726857
x:0.43406206,y:0.32393977,z:-0.020506933
x:0.44623032,y:0.31867597,z:-0.046140604
x:0.4485724,y:0.3199256,z:-0.0352081
x:0.41253936,y:0.2916897,z:0.01270649
x:0.41737503,y:0.2912178,z:0.006107094
x:0.41977105,y:0.29086167,z:-0.0013177573
x:0.37225524,y:0.29997623,z:0.022221506
x:0.36339295,y:0.29895526,z:0.02329099
x:0.44618014,y:0.29556173,z:-0.038263768
x:0.4950971,y:0.2710929,z:0.010771234
x:0.46145394,y:0.31573784,z:-0.03632851
x:0.51753175,y:0.24294809,z:0.05744658
x:0.47471038,y:0.28078666,z:0.0023745096
x:0.483712,y:0.2790071,z:0.002306606
x:0.49200734,y:0.2769039,z:0.0042906688
x:0.50128436,y:0.27212176,z:0.01157759
x:0.46590573,y:0.28151074,z:0.0044010123
x:0.47469708,y:0.26310962,z:-5.649805E-4
x:0.4649474,y:0.26600054,z:6.779766E-4
x:0.4851793,y:0.2618764,z:0.0018302185
x:0.49339113,y:0.26264334,z:0.0051819053
x:0.51254964,y:0.27353898,z:0.015473569
x:0.52431,y:0.35904306,z:-0.008012643
x:0.49783832,y:0.26930857,z:0.013911782
x:0.54085886,y:0.26610997,z:0.056835447
x:0.5203583,y:0.26803982,z:0.025141366
x:0.4974461,y:0.3011657,z:-0.010983433
x:0.47551182,y:0.3282619,z:-0.03172803
x:0.47784537,y:0.33303303,z:-0.028112156
x:0.4897538,y:0.32800266,z:-0.027042672
x:0.49996585,y:0.32884902,z:-0.0198958
x:0.48813576,y:0.33193225,z:-0.024699992
x:0.4967242,y:0.33168194,z:-0.01780776
x:0.5192201,y:0.3367038,z:-0.0054068365
x:0.45736966,y:0.31249994,z:-0.052795168
x:0.4543106,y:0.30682343,z:-0.055171806
x:0.5022878,y:0.25552762,z:0.008220599
x:0.46885866,y:0.29207414,z:-0.008555873
x:0.47892502,y:0.30686712,z:-0.031082943
x:0.47809827,y:0.3039764,z:-0.027840542
x:0.52642494,y:0.29457244,z:-8.901758E-4
x:0.44989485,y:0.3005692,z:-0.04858514
x:0.47461286,y:0.25408128,z:-0.0056360117
x:0.4895262,y:0.25335854,z:5.283761E-4
x:0.49977544,y:0.23454592,z:0.041081775
x:0.43841487,y:0.26728112,z:-0.011467247
x:0.45807865,y:0.2702559,z:0.003980858
x:0.5217814,y:0.328932,z:-0.0040148096
x:0.57270473,y:0.32146725,z:0.07326815
x:0.4745151,y:0.31158835,z:-0.027093599
x:0.4684258,y:0.3151433,z:-0.027568925
x:0.5133692,y:0.33181897,z:-0.003980858
x:0.51053375,y:0.3323703,z:-0.006047678
x:0.49174762,y:0.24906653,z:0.005572352
x:0.48154095,y:0.309388,z:-0.026108995
x:0.45760712,y:0.2581416,z:-0.009778141
x:0.4555648,y:0.25354803,z:-0.011085289
