x:0.45397982,y:0.37713614,z:-0.016475743
x:0.45162013,y:0.35989946,z:-0.047897566
x:0.45282775,y:0.36357683,z:-0.021415278
x:0.44140998,y:0.3404642,z:-0.042288803
x:0.45070946,y:0.35440168,z:-0.05286897
x:0.44969404,y:0.3463143,z:-0.051881064
x:0.44746166,y:0.325681,z:-0.03511851
x:0.37789413,y:0.32385546,z:0.0020455257
x:0.44519874,y:0.31031334,z:-0.034481145
x:0.44399717,y:0.30259764,z:-0.03948442
x:0.43992448,y:0.27154678,z:-0.041906387
x:0.4543975,y:0.37934646,z:-0.014507895
x:0.45481515,y:0.3815568,z:-0.010914781
x:0.45508462,y:0.38298282,z:-0.005700384
x:0.45597684,y:0.38566956,z:-3.0125194E-4
x:0.45632413,y:0.38954255,z:1.401226E-5
x:0.45680615,y:0.39412856,z:-1.5423601E-4
x:0.45743388,y:0.39812905,z:0.003646891
x:0.4583261,y:0.40081573,z:0.015384265
x:0.45217803,y:0.36217353,z:-0.042256933
x:0.4434966,y:0.36168307,z:-0.028967988
x:0.34513566,y:0.29906237,z:0.035628393
x:0.40832895,y:0.32549694,z:-0.006453265
x:0.39895684,y:0.32677835,z:-0.0053060176
x:0.38947695,y:0.32748935,z:-0.0026151657
x:0.37470472,y:0.32563248,z:0.004441599
x:0.4156919,y:0.3237588,z:-0.0061784033
x:0.39097086,y:0.31232968,z:-0.013464219
x:0.4020337,y:0.31253356,z:-0.01404581
x:0.38092452,y:0.31343508,z:-0.009815336
x:0.37455666,y:0.31569058,z:-0.005485275
x:0.36941278,y:0.32883316,z:0.010165884
x:0.42651483,y:0.40545774,z:0.03116688
x:0.37386635,y:0.32323098,z:0.004592972
x:0.34446403,y:0.32433993,z:0.050096456
x:0.35949677,y:0.32452273,z:0.017925736
x:0.40577587,y:0.35268965,z:-0.004565087
x:0.44309515,y:0.37584,z:-0.015001849
x:0.44540015,y:0.38125443,z:-0.009050504
x:0.43405738,y:0.37753406,z:-0.008277707
x:0.42846903,y:0.3791661,z:3.109617E-4
x:0.43808064,y:0.3811873,z:-0.00462484
x:0.4327164,y:0.3812917,z:0.002945796
x:0.41537943,y:0.3872315,z:0.0219411
x:0.44418734,y:0.3599112,z:-0.046941526
x:0.4420495,y:0.35470313,z:-0.051530514
x:0.3615758,y:0.31008524,z:-0.005556978
x:0.4225291,y:0.33755505,z:-0.012492246
x:0.42391214,y:0.35708544,z:-0.023932848
x:0.42277187,y:0.3537646,z:-0.022084506
x:0.37867567,y:0.3520746,z:0.0068237297
x:0.44152215,y:0.34716344,z:-0.048662398
x:0.38150856,y:0.3043147,z:-0.023869112
x:0.36920205,y:0.3063484,z:-0.015790582
x:0.35257536,y:0.28992867,z:0.013647459
x:0.42391622,y:0.30758384,z:-0.03153336
x:0.41157794,y:0.31419823,z:-0.011177692
x:0.4082227,y:0.3812419,z:0.020985061
x:0.3673125,y:0.3740255,z:0.09885445
x:0.43115026,y:0.36011383,z:-0.019598804
x:0.43809193,y:0.36157355,z:-0.01961474
x:0.42176133,y:0.38165826,z:0.019391662
x:0.42409685,y:0.38180703,z:0.016571347
x:0.36432794,y:0.30260184,z:-0.012986199
x:0.4240089,y:0.35895443,z:-0.017877933
x:0.39892277,y:0.30421096,z:-0.02928667
x:0.39655963,y:0.29984555,z:-0.033110827
x:0.38670334,y:0.2768559,z:-0.027039977
x:0.36045867,y:0.29738912,z:-0.0018961445
x:0.39455888,y:0.2892573,z:-0.031023473
x:0.35651678,y:0.30739528,z:0.0010377009
x:0.35207132,y:0.30456045,z:0.01698563
x:0.44405475,y:0.37888324,z:-0.012986199
x:0.4359692,y:0.37951088,z:-0.00665244
x:0.4304727,y:0.38027215,z:9.744629E-4
x:0.4332133,y:0.36085576,z:-0.017368047
x:0.42305583,y:0.38172507,z:0.017830132
x:0.4264563,y:0.3841176,z:0.014244985
x:0.42539138,y:0.38187385,z:0.016332336
x:0.43467802,y:0.35910973,z:-0.033429503
x:0.4345394,y:0.38212007,z:0.004907668
x:0.43983078,y:0.38230848,z:-2.0452766E-4
x:0.4468374,y:0.38275486,z:-0.0041189357
x:0.4453619,y:0.40072554,z:0.016109262
x:0.44552964,y:0.39754283,z:0.004501351
x:0.4455357,y:0.3935045,z:0.0013444301
x:0.44622144,y:0.38899285,z:0.0015844358
x:0.44704196,y:0.38519424,z:0.0012468345
x:0.43461472,y:0.3831972,z:0.008875231
x:0.4326295,y:0.38490224,z:0.008811494
x:0.4304716,y:0.38705024,z:0.008803528
x:0.4288207,y:0.38916793,z:0.011297196
x:0.41648754,y:0.37274387,z:0.0011263337
x:0.35005796,y:0.34614226,z:0.099173136
x:0.45243952,y:0.36287895,z:-0.029063592
x:0.43062338,y:0.38242632,z:0.013591692
x:0.42847645,y:0.38327575,z:0.013631525
x:0.44115806,y:0.36355343,z:-0.018451557
x:0.42720976,y:0.36164734,z:-0.009743633
x:0.43968838,y:0.3625597,z:-0.019471332
