x:0.45949063,y:0.38304323,z:-0.015448857
x:0.45055515,y:0.36507654,z:-0.046130285
x:0.45429683,y:0.36866236,z:-0.020037167
x:0.43919522,y:0.34657064,z:-0.040321514
x:0.448704,y:0.3598948,z:-0.051166613
x:0.44706553,y:0.35215208,z:-0.050455965
x:0.44429845,y:0.33181864,z:-0.034945313
x:0.38323128,y:0.33270538,z:0.008620461
x:0.44063503,y:0.3163004,z:-0.03497621
x:0.43840885,y:0.30868566,z:-0.040290616
x:0.4314839,y:0.27895054,z:-0.043720264
x:0.46038988,y:0.38514274,z:-0.013409608
x:0.46138978,y:0.38716188,z:-0.009694158
x:0.46237934,y:0.3883353,z:-0.004167329
x:0.46329463,y:0.39008042,z:1.9492112E-5
x:0.4640241,y:0.39325497,z:7.835467E-4
x:0.46492282,y:0.39697742,z:8.34721E-4
x:0.4661445,y:0.40052724,z:0.0048007322
x:0.46699062,y:0.40326697,z:0.016839255
x:0.45196265,y:0.36719698,z:-0.0405378
x:0.44486868,y:0.36697286,z:-0.02675742
x:0.35184598,y:0.30825335,z:0.04427642
x:0.41030478,y:0.33344683,z:-0.0023598128
x:0.40174907,y:0.33498845,z:-1.7729976E-4
x:0.3933074,y:0.3358839,z:0.0033968173
x:0.3804884,y:0.33438462,z:0.011548021
x:0.41718778,y:0.33136305,z:-0.0030820468
x:0.39312464,y:0.32087225,z:-0.008396454
x:0.40319932,y:0.32059345,z:-0.010373907
x:0.38418245,y:0.32238108,z:-0.0037289679
x:0.3788293,y:0.32495043,z:0.0011712165
x:0.37577033,y:0.33738583,z:0.017936122
x:0.43929058,y:0.40780824,z:0.035717756
x:0.37972945,y:0.33213025,z:0.011486225
x:0.35447675,y:0.3324104,z:0.060034256
x:0.36690417,y:0.333454,z:0.02649479
x:0.41084123,y:0.3591492,z:8.0092665E-4
x:0.4495274,y:0.38246444,z:-0.012737582
x:0.45277628,y:0.38729793,z:-0.0068168077
x:0.44203046,y:0.38418484,z:-0.0049127364
x:0.43747705,y:0.3856882,z:0.0040707737
x:0.44627517,y:0.38736868,z:-0.0016510965
x:0.4416852,y:0.38753495,z:0.006160232
x:0.42731038,y:0.39176202,z:0.02620126
x:0.4435881,y:0.3652634,z:-0.0445545
x:0.44048217,y:0.3604865,z:-0.049065568
x:0.36688232,y:0.319979,z:0.00252975
x:0.42418748,y:0.34387398,z:-0.009238416
x:0.42661613,y:0.36311153,z:-0.019820882
x:0.42550018,y:0.3599042,z:-0.018044265
x:0.3861736,y:0.3590899,z:0.015163052
x:0.4394788,y:0.35317564,z:-0.046253875
x:0.38364816,y:0.3135426,z:-0.018461384
x:0.3730513,y:0.3159893,z:-0.008767227
x:0.3555681,y:0.29938707,z:0.021149484
x:0.42185226,y:0.31478408,z:-0.03012527
x:0.41223583,y:0.32182726,z:-0.008458249
x:0.4198105,y:0.3865677,z:0.026170364
x:0.38622007,y:0.37792516,z:0.109130725
x:0.43406397,y:0.36570013,z:-0.016391236
x:0.44076577,y:0.36709154,z:-0.017256374
x:0.43230397,y:0.38802823,z:0.023590405
x:0.4344586,y:0.38809997,z:0.020145308
