x:0.5986797,y:0.34479967,z:-0.014979414
x:0.600521,y:0.32930827,z:-0.04249118
x:0.59533256,y:0.33361158,z:-0.018911686
x:0.5804272,y:0.31358248,z:-0.04042603
x:0.598878,y:0.32433927,z:-0.046932667
x:0.5933118,y:0.31749606,z:-0.045857657
x:0.5760573,y:0.2999762,z:-0.030666072
x:0.5043911,y:0.30726847,z:-0.020057421
x:0.56651133,y:0.28503364,z:-0.02964764
x:0.5636601,y:0.2777433,z:-0.03431545
x:0.5474743,y:0.25049683,z:-0.036324017
x:0.5993078,y:0.34668595,z:-0.013147654
x:0.59928423,y:0.34867954,z:-0.009830683
x:0.5987705,y:0.34995797,z:-0.0047031683
x:0.5984633,y:0.35027385,z:-0.0036635206
x:0.60010594,y:0.35252365,z:-0.003180827
x:0.6013963,y:0.35522938,z:-0.0036953464
x:0.60209864,y:0.3581646,z:-9.733436E-4
x:0.60208875,y:0.36267626,z:0.009130511
x:0.5996155,y:0.33164608,z:-0.037483897
x:0.5885965,y:0.33312914,z:-0.02813414
x:0.43907976,y:0.28950498,z:-7.894603E-4
x:0.53161335,y:0.30769336,z:-0.019887682
x:0.5230075,y:0.30950853,z:-0.02188211
x:0.51419234,y:0.31069496,z:-0.022165006
x:0.5000553,y:0.31003854,z:-0.01923702
x:0.5385663,y:0.30542082,z:-0.016351467
x:0.51301104,y:0.29324737,z:-0.030128567
x:0.5235878,y:0.2925004,z:-0.026832812
x:0.50363714,y:0.2958523,z:-0.029534481
x:0.49746054,y:0.29938978,z:-0.027285447
x:0.49257302,y:0.31491858,z:-0.015573498
x:0.5712685,y:0.3750475,z:0.012143368
x:0.4996866,y:0.30638513,z:-0.018614644
x:0.44951183,y:0.31385222,z:0.011075431
x:0.4778955,y:0.31322363,z:-0.011634152
x:0.53991556,y:0.33066696,z:-0.018812673
x:0.58855057,y:0.34527394,z:-0.017695228
x:0.589971,y:0.34981534,z:-0.011839254
x:0.57784706,y:0.34849578,z:-0.016125148
x:0.56962276,y:0.351044,z:-0.012270671
x:0.58067644,y:0.35121337,z:-0.011761456
x:0.572685,y:0.35239676,z:-0.008041357
x:0.55645937,y:0.36064008,z:0.0018547456
x:0.593711,y:0.3304961,z:-0.043735925
x:0.5907966,y:0.3258028,z:-0.048177417
x:0.48196706,y:0.29703334,z:-0.031090418
x:0.55048746,y:0.31473264,z:-0.020340318
x:0.5664016,y:0.33194265,z:-0.030241726
x:0.56287026,y:0.32900903,z:-0.028897962
x:0.5082968,y:0.33448127,z:-0.017737662
x:0.58574694,y:0.31927246,z:-0.046083976
x:0.50573903,y:0.2867514,z:-0.03918128
x:0.49196824,y:0.2908763,z:-0.036522046
x:0.44988948,y:0.2786716,z:-0.017369896
x:0.5480782,y:0.28654385,z:-0.033381887
x:0.533055,y:0.29392588,z:-0.021344604
x:0.5479163,y:0.35713902,z:-0.0011156764
x:0.47686517,y:0.35915673,z:0.057711057
x:0.5736518,y:0.33386588,z:-0.024060419
x:0.5811295,y:0.3339609,z:-0.02060907
x:0.5580954,y:0.35426885,z:-2.7781402E-4
x:0.560331,y:0.35403332,z:-0.0010865026
x:0.48432598,y:0.28865287,z:-0.035673354
x:0.56520987,y:0.33373067,z:-0.024612067
x:0.5241536,y:0.284979,z:-0.03841746
x:0.5211704,y:0.28105974,z:-0.04232144
x:0.4935797,y:0.26089787,z:-0.04121814
x:0.46698323,y:0.28364956,z:-0.028756514
x:0.5086664,y:0.27108118,z:-0.042802367
x:0.47320724,y:0.29628727,z:-0.026945971
x:0.45583287,y:0.29258248,z:-0.015304745
x:0.589388,y:0.347789,z:-0.01581396
x:0.5794339,y:0.34995884,z:-0.014272171
x:0.5712625,y:0.3517025,z:-0.010714737
x:0.5754901,y:0.33422637,z:-0.020736374
x:0.559245,y:0.3542122,z:-5.8656995E-4
x:0.5648951,y:0.35487348,z:-0.0026008873
x:0.561372,y:0.35399455,z:-9.954451E-4
x:0.58014387,y:0.33206716,z:-0.035843093
x:0.57343733,y:0.3529361,z:-0.0055023534
x:0.58133876,y:0.3520328,z:-0.007001709
x:0.5900639,y:0.35112652,z:-0.0071290126
x:0.5906857,y:0.36455417,z:0.0062237415
x:0.5920253,y:0.3594256,z:-0.0041373735
x:0.5914315,y:0.3564725,z:-0.0066480874
x:0.5906841,y:0.35367733,z:-0.0060540033
x:0.5898653,y:0.35142452,z:-0.006209596
x:0.57317513,y:0.35311192,z:-0.0047632838
x:0.57264286,y:0.35412812,z:-0.0049294857
x:0.5719306,y:0.35570455,z:-0.0055412515
x:0.57145405,y:0.35750747,z:-0.004102011
x:0.5584997,y:0.34756988,z:-0.012893046
x:0.45006192,y:0.33518422,z:0.055193268
x:0.5976846,y:0.33269364,z:-0.025743658
x:0.56716496,y:0.35357112,z:-0.0026150323
x:0.56616116,y:0.35413438,z:-0.0026680755
x:0.58459437,y:0.335181,z:-0.01964722
x:0.5676445,y:0.33591634,z:-0.015502774
x:0.5829864,y:0.3345836,z:-0.020382753
x:0.54208064,y:0.31896904,z:-0.01918044
x:0.5289061,y:0.3249191,z:-0.019746235
x:0.5609369,y:0.3311845,z:-0.023636073
x:0.46754533,y:0.2690984,z:-0.031486474
x:0.48390302,y:0.2762868,z:-0.037455607
x:0.5005388,y:0.2833299,z:-0.040906955
x:0.56640345,y:0.36298186,z:0.0017530794
x:0.54316896,y:0.28005672,z:-0.039747074
x:0.5321612,y:0.26774254,z:-0.042293154
x:0.51934683,y:0.25512898,z:-0.04240631
x:0.5058194,y:0.31114534,z:-0.020934403
x:0.4832499,y:0.320566,z:-0.012390903
x:0.543424,y:0.303427,z:-0.014583357
x:0.4878459,y:0.30402407,z:-0.023126857
x:0.5560203,y:0.31063792,z:-0.022575207
x:0.5731055,y:0.3296448,z:-0.037568767
x:0.47060478,y:0.32390863,z:-0.005106297
x:0.49334762,y:0.32274985,z:-0.016874826
x:0.5082023,y:0.32229322,z:-0.020085711
x:0.52593845,y:0.31831118,z:-0.018798528
x:0.5377358,y:0.314246,z:-0.017426476
x:0.54619306,y:0.31033292,z:-0.0174972
x:0.56801844,y:0.3024276,z:-0.030128567
x:0.47871315,y:0.3348432,z:-0.0030305376
x:0.47862273,y:0.30487972,z:-0.022292309
x:0.59527147,y:0.3323615,z:-0.038530618
x:0.5561912,y:0.32002777,z:-0.021542631
x:0.43593496,y:0.31257296,z:0.037370738
x:0.5526451,y:0.30641845,z:-0.017836677
x:0.5578908,y:0.33122188,z:-0.015163298
x:0.49472278,y:0.30726892,z:-0.018006416
x:0.56908405,y:0.325996,z:-0.035673354
x:0.4612047,y:0.3470782,z:0.05827685
x:0.5423165,y:0.30175233,z:-0.013982201
x:0.57721543,y:0.3221366,z:-0.042717498
x:0.51864576,y:0.37044886,z:0.024951546
x:0.5155129,y:0.3750769,z:0.0424346
x:0.46141106,y:0.33603448,z:0.024668647
x:0.49997857,y:0.36516625,z:0.0286575
x:0.45109817,y:0.3025149,z:-4.632444E-4
x:0.57045335,y:0.3798244,z:0.018529775
x:0.59425443,y:0.3331259,z:-0.026097279
x:0.54911155,y:0.32477516,z:-0.01895412
x:0.4674674,y:0.3160685,z:-0.005969134
x:0.51455736,y:0.30731866,z:-0.022108426
x:0.522133,y:0.30646902,z:-0.021924544
x:0.5638648,y:0.355839,z:-0.0016850071
x:0.48513144,y:0.34479594,z:0.0052017746
x:0.5869164,y:0.3826844,z:0.02813414
x:0.5540254,y:0.38133597,z:0.03267464
x:0.53712016,y:0.37921205,z:0.036550336
x:0.5563844,y:0.26421762,z:-0.036578625
x:0.60364085,y:0.37993014,z:0.03179766
x:0.52895623,y:0.30508006,z:-0.020000841
x:0.5355437,y:0.30346462,z:-0.017157724
x:0.54008627,y:0.30245122,z:-0.014625791
x:0.46837178,y:0.30557305,z:-0.016393902
x:0.5321444,y:0.29851952,z:-0.020411042
x:0.52357,y:0.2976766,z:-0.023961404
x:0.5160712,y:0.29844725,z:-0.02592754
x:0.5089461,y:0.30061552,z:-0.025771946
x:0.5045282,y:0.30300117,z:-0.024074562
x:0.43470412,y:0.30024046,z:0.019194584
x:0.50896305,y:0.3074441,z:-0.0212173
x:0.59596354,y:0.33708915,z:-0.015545209
x:0.5674681,y:0.3435063,z:-0.015516918
x:0.5744066,y:0.3332773,z:-0.027511764
x:0.5850639,y:0.33948106,z:-0.018218588
x:0.56965655,y:0.29220924,z:-0.027243013
x:0.53702146,y:0.37471828,z:0.024145287
x:0.5532037,y:0.3774919,z:0.022108426
x:0.58833313,y:0.38019606,z:0.01688897
x:0.49566674,y:0.36866194,z:0.050893232
x:0.5390688,y:0.30049643,z:-0.016775813
x:0.5678635,y:0.31187108,z:-0.031373315
x:0.6053834,y:0.37738818,z:0.021019273
x:0.5708299,y:0.38281327,z:0.028402891
x:0.47050613,y:0.3469392,z:0.029562771
x:0.58114016,y:0.35233083,z:-0.0061706984
x:0.5809894,y:0.35408005,z:-0.0064076246
x:0.5811566,y:0.3564402,z:-0.007118404
x:0.5815596,y:0.35902676,z:-0.005265427
x:0.57783085,y:0.3645488,z:0.0022083675
x:0.56599677,y:0.35336557,z:-0.00476682
x:0.56433064,y:0.35310936,z:-0.005912554
x:0.5629903,y:0.3527995,z:-0.007001709
x:0.55163723,y:0.3522815,z:-0.008593006
x:0.5038326,y:0.34629253,z:-0.006276785
x:0.561969,y:0.30620942,z:-0.025786093
x:0.5484081,y:0.2962391,z:-0.01766694
x:0.5423318,y:0.29770404,z:-0.017101144
x:0.56727356,y:0.35355324,z:-0.0030977258
x:0.5056328,y:0.3581333,z:0.011110793
x:0.5583357,y:0.29447156,z:-0.025474904
x:0.5735855,y:0.36975795,z:0.007991849
x:0.5874623,y:0.31169435,z:-0.040539186
x:0.5744613,y:0.3084632,z:-0.03604112
x:0.5820976,y:0.30614445,z:-0.035560194
x:0.56594706,y:0.3208751,z:-0.02973251
x:0.60513115,y:0.37305233,z:0.014434836
x:0.6033106,y:0.36751565,z:0.012023137
x:0.5894733,y:0.36992708,z:0.009469989
x:0.5480286,y:0.36415085,z:0.005760497
x:0.5511872,y:0.33623895,z:-0.013939766
x:0.5599304,y:0.36776203,z:0.007426055
x:0.52750164,y:0.33921105,z:-0.01703042
x:0.5445634,y:0.34276834,z:-0.013303247
x:0.5218874,y:0.3483598,z:-0.009873117
x:0.5889497,y:0.37571716,z:0.010933981
x:0.56039023,y:0.3242442,z:-0.024145287
x:0.54025227,y:0.3691456,z:0.013175943
x:0.55553925,y:0.3724646,z:0.014512633
x:0.53807086,y:0.35929102,z:5.909902E-4
x:0.49114817,y:0.3529578,z:0.013126437
x:0.5238178,y:0.3620362,z:0.0061388724
x:0.4820208,y:0.35671592,z:0.032363456
x:0.5390681,y:0.35010675,z:-0.009554857
x:0.5618009,y:0.31585407,z:-0.026083134
x:0.5775903,y:0.3316918,z:-0.0383043
x:0.5704281,y:0.33333558,z:-0.029336452
x:0.58186495,y:0.32767165,z:-0.04367935
x:0.5398225,y:0.2917502,z:-0.024201866
x:0.524149,y:0.289954,z:-0.030383173
x:0.5109472,y:0.29086798,z:-0.033297017
x:0.49965033,y:0.2938559,z:-0.03281609
x:0.4916647,y:0.29822192,z:-0.029619351
x:0.48760304,y:0.30990055,z:-0.015828107
x:0.45415825,y:0.32515797,z:0.017610358
x:0.49976748,y:0.3160551,z:-0.017709373
x:0.51095617,y:0.31580424,z:-0.019321889
x:0.523522,y:0.31366855,z:-0.01906728
x:0.5343527,y:0.31069106,z:-0.01766694
x:0.5423863,y:0.3077763,z:-0.015375471
x:0.5481074,y:0.30517602,z:-0.01479553
x:0.44191638,y:0.32372516,z:0.04857347
x:0.5697554,y:0.33430856,z:-0.024626212
x:0.57301885,y:0.31679222,z:-0.03595625
x:0.5860083,y:0.3311014,z:-0.04217999
x:0.5892745,y:0.33261952,z:-0.036210857
x:0.58452505,y:0.33187625,z:-0.03804969
x:0.5714905,y:0.33515033,z:-0.020000841
x:0.5920267,y:0.33269688,z:-0.037766796
x:0.5912268,y:0.33342552,z:-0.027101565
x:0.5460407,y:0.3012053,z:-0.013310319
x:0.5518894,y:0.3015686,z:-0.015559353
x:0.556615,y:0.30158627,z:-0.01953406
x:0.5019061,y:0.30475947,z:-0.021754805
x:0.4938057,y:0.30324155,z:-0.023126857
x:0.5931599,y:0.31108767,z:-0.034598343
x:0.6140609,y:0.2850955,z:0.022942975
x:0.6033872,y:0.32983112,z:-0.023650216
x:0.618878,y:0.25946397,z:0.064217694
x:0.595356,y:0.29401243,z:0.007609938
x:0.60330236,y:0.29296908,z:0.011252241
x:0.6103428,y:0.29154432,z:0.016195871
x:0.61640793,y:0.28643343,z:0.026295308
x:0.5890464,y:0.29412296,z:0.005307861
x:0.6025319,y:0.27744353,z:0.0047314577
x:0.59338844,y:0.27981153,z:6.3563493E-4
x:0.6107009,y:0.27682778,z:0.010778388
x:0.6155326,y:0.27795547,z:0.016266597
x:0.6230887,y:0.28884837,z:0.033410173
x:0.6227285,y:0.36246076,z:0.031656213
x:0.6150936,y:0.28300208,z:0.026436755
x:0.62841177,y:0.2814057,z:0.0785323
x:0.62635124,y:0.2833368,z:0.04348132
x:0.61748755,y:0.31523913,z:0.008479848
x:0.60536504,y:0.3422396,z:-0.0106652295
x:0.6053287,y:0.34715354,z:-0.0054988167
x:0.611023,y:0.34223634,z:-0.0016558334
x:0.6142917,y:0.34262654,z:0.0076877354
x:0.60948193,y:0.3460716,z:7.456997E-4
x:0.6122419,y:0.34548444,z:0.008734455
x:0.6224718,y:0.34565678,z:0.027497621
x:0.6056649,y:0.32786426,z:-0.039973393
x:0.6049543,y:0.32287434,z:-0.04367935
x:0.6237697,y:0.2724869,z:0.02072223
x:0.5967669,y:0.30578467,z:-0.0023763375
x:0.6120955,y:0.32209623,z:-0.013416406
x:0.6094197,y:0.31922072,z:-0.011535139
x:0.6343652,y:0.3096077,z:0.027893675
x:0.59931666,y:0.31657347,z:-0.04039774
x:0.60982597,y:0.27106908,z:-0.0035963324
x:0.6184929,y:0.27050397,z:0.008204022
x:0.6135845,y:0.25201207,z:0.040906955
x:0.5808808,y:0.28160602,z:-0.021726515
x:0.58656025,y:0.28345633,z:8.48692E-4
x:0.625141,y:0.3399113,z:0.029845668
x:0.6263629,y:0.32730752,z:0.11779845
x:0.60850424,y:0.3260702,z:-0.011605863
x:0.6045579,y:0.32890877,z:-0.014406547
x:0.61844003,y:0.3438005,z:0.026549915
x:0.6168932,y:0.34445316,z:0.022575207
x:0.6195042,y:0.26655698,z:0.012199948
x:0.61115277,y:0.3239096,z:-0.0081757335
x:0.5975834,y:0.27427906,z:-0.01401049
x:0.5974557,y:0.26995587,z:-0.017086998
x:0.5904751,y:0.24567029,z:-0.007899908
x:0.6170184,y:0.25860953,z:0.024484765
x:0.59480494,y:0.2571608,z:-0.013501274
x:0.62488174,y:0.26918653,z:0.0286575
x:0.62252355,y:0.26420265,z:0.045093834
x:0.605768,y:0.34482616,z:-0.008918338
x:0.6104564,y:0.34431934,z:-7.129897E-4
x:0.61340725,y:0.3440987,z:0.0074826344
x:0.60699457,y:0.32724732,z:-0.010601577
x:0.6176984,y:0.34418792,z:0.02427259
x:0.61644304,y:0.34585375,z:0.018444905
x:0.6163051,y:0.34468263,z:0.022023557
x:0.60856247,y:0.32572898,z:-0.024343316
x:0.61094946,y:0.3466258,z:0.010474274
x:0.6080994,y:0.3474931,z:0.0047880374
x:0.60422695,y:0.34866142,z:-5.781714E-4
x:0.61003226,y:0.36004162,z:0.012511135
x:0.60919195,y:0.35593528,z:0.0028006835
x:0.6082724,y:0.35303584,z:5.538599E-4
x:0.606394,y:0.35055956,z:0.0010900388
x:0.60407335,y:0.34881938,z:5.3838897E-4
x:0.61103946,y:0.3463457,z:0.011308821
x:0.61300504,y:0.34695053,z:0.011188589
x:0.61488056,y:0.34783548,z:0.0111603
x:0.6165124,y:0.34915853,z:0.013861969
x:0.6200385,y:0.33418557,z:0.010120652
x:0.6245421,y:0.30160847,z:0.12266429
x:0.6132379,y:0.3455857,z:0.017567925
x:0.6149491,y:0.34570184,z:0.017596213
x:0.6031861,y:0.33125705,z:-0.013550783
x:0.60944736,y:0.32697606,z:-0.0025336992
x:0.60401237,y:0.3301261,z:-0.014378257
x:0.6044275,y:0.30691075,z:0.004837544
x:0.6175871,y:0.30772814,z:0.012744525
x:0.609812,y:0.32088053,z:-0.0057640327
x:0.6049327,y:0.24716929,z:0.015969554
x:0.6083139,y:0.25593096,z:0.0052336007
x:0.6102862,y:0.26651642,z:-0.0030605956
x:0.62007266,y:0.35056192,z:0.022773236
x:0.58129835,y:0.27470592,z:-0.027073275
x:0.5780541,y:0.26031736,z:-0.027101565
x:0.57219285,y:0.24679086,z:-0.025588064
x:0.6150097,y:0.28918397,z:0.021952832
x:0.630919,y:0.29120666,z:0.04198196
x:0.5849089,y:0.2938758,z:0.0047314577
x:0.62116945,y:0.27881792,z:0.026790377
x:0.59173906,y:0.30382708,z:-0.008232312
x:0.6106597,y:0.32160315,z:-0.023904825
x:0.63566065,y:0.29261446,z:0.056494597
x:0.63091445,y:0.29618168,z:0.03414571
x:0.6249922,y:0.30020788,z:0.023112712
x:0.6113032,y:0.30199796,z:0.01406707
x:0.60029453,y:0.30168855,z:0.0074755624
x:0.5926075,y:0.30096477,z:0.0011563428
x:0.5826291,y:0.29968983,z:-0.024074562
x:0.64047784,y:0.30322883,z:0.057993952
x:0.62500477,y:0.27712512,z:0.032504905
x:0.60286814,y:0.3306462,z:-0.035531905
x:0.6000946,y:0.3112721,z:-0.0041762716
x:0.6217364,y:0.2794541,z:0.10710493
x:0.5870288,y:0.29976115,z:-0.0033381884
x:0.60853523,y:0.32069284,z:0.0025637571
x:0.6175146,y:0.2826697,z:0.029308164
x:0.6071681,y:0.3180661,z:-0.02176895
x:0.6257412,y:0.31387988,z:0.12277744
x:0.5834888,y:0.29205364,z:0.0062909294
x:0.6036396,y:0.31672376,z:-0.032618064
x:0.63274384,y:0.3440978,z:0.070045374
x:0.62779117,y:0.34862757,z:0.08769818
x:0.63567793,y:0.30216223,z:0.09171531
x:0.6347557,y:0.33527705,z:0.08198365
x:0.6256609,y:0.27204278,z:0.064047955
x:0.62361383,y:0.36642703,z:0.039775364
x:0.6005347,y:0.33182633,z:-0.02427259
x:0.6068018,y:0.31328475,z:0.0023392073
x:0.6296729,y:0.28292242,z:0.054768924
x:0.60856766,y:0.2885868,z:0.015601788
x:0.602306,y:0.2901486,z:0.011407835
x:0.6176298,y:0.34632155,z:0.020906113
x:0.64074945,y:0.31326532,z:0.063878216
x:0.6150302,y:0.37553418,z:0.039605625
x:0.62370884,y:0.3638911,z:0.06161504
x:0.6255621,y:0.3574841,z:0.07315725
x:0.5951966,y:0.29098776,z:0.008359617
x:0.5888288,y:0.29143953,z:0.0071714474
x:0.58510464,y:0.29198653,z:0.007242172
x:0.6268745,y:0.2748275,z:0.04260434
x:0.5877474,y:0.28664333,z:0.004618299
x:0.59364855,y:0.28348282,z:0.0051451954
x:0.6011816,y:0.28164533,z:0.008048429
x:0.6080156,y:0.28118312,z:0.012843538
x:0.6118459,y:0.28174615,z:0.017355751
x:0.6215123,y:0.26814967,z:0.08752844
x:0.61237115,y:0.28683293,z:0.019802812
x:0.6146506,y:0.33334845,z:0.0020545418
x:0.60936767,y:0.3254637,z:-0.015658367
x:0.6051892,y:0.33510557,z:-0.010955199
x:0.6292645,y:0.35236436,z:0.060596608
x:0.6262987,y:0.3593525,z:0.050836653
x:0.6174244,y:0.3728849,z:0.028346313
x:0.6273395,y:0.33915132,z:0.10444569
x:0.5848024,y:0.29004657,z:0.0055412515
x:0.592709,y:0.30704984,z:-0.0216275
x:0.62079597,y:0.37007463,z:0.04967677
x:0.6358385,y:0.3133445,z:0.09358244
x:0.608208,y:0.34747523,z:0.005820613
x:0.6105365,y:0.3485509,z:0.0060504666
x:0.61242276,y:0.3503626,z:0.0059938873
x:0.61412895,y:0.35273457,z:0.008416195
x:0.6160895,y:0.35559523,z:0.01744062
x:0.6147847,y:0.344933,z:0.016195871
x:0.61577,y:0.34410754,z:0.01703042
x:0.61669165,y:0.34315985,z:0.017483056
x:0.6237949,y:0.33641887,z:0.020043276
x:0.63907087,y:0.3186487,z:0.043028682
x:0.58698666,y:0.30149248,z:-0.015729092
x:0.57935625,y:0.28955066,z:-0.0045758644
x:0.5821163,y:0.2889635,z:0.0016054423
