x:0.591896,y:0.3325777,z:-0.027299017
x:0.5951386,y:0.31453076,z:-0.0496978
x:0.5926296,y:0.32096866,z:-0.026303163
x:0.5907437,y:0.2965669,z:-0.037210125
x:0.5966321,y:0.30882353,z:-0.052890856
x:0.597968,y:0.30182126,z:-0.049097132
x:0.6005238,y:0.28480878,z:-0.023726592
x:0.5339477,y:0.28002873,z:0.012195245
x:0.60343146,y:0.27017397,z:-0.017419523
x:0.6052916,y:0.26234275,z:-0.019300578
x:0.61149675,y:0.2330229,z:-0.008820412
x:0.5912165,y:0.33504194,z:-0.026239933
x:0.5901594,y:0.33748555,z:-0.023173338
x:0.589387,y:0.3390156,z:-0.018857976
x:0.58811355,y:0.34344846,z:-0.017372102
x:0.5874707,y:0.3457003,z:-0.018620867
x:0.5867545,y:0.34837693,z:-0.02024901
x:0.5855874,y:0.35145772,z:-0.018399568
x:0.5822499,y:0.35827917,z:-0.008852026
x:0.594211,y:0.3176961,z:-0.044955645
x:0.5861067,y:0.3175393,z:-0.03234151
x:0.5012346,y:0.254622,z:0.05744333
x:0.55776,y:0.28597477,z:0.002392813
x:0.54849845,y:0.2858977,z:0.00315551
x:0.539749,y:0.28506243,z:0.005832853
x:0.5287108,y:0.28202963,z:0.0136337
x:0.5661857,y:0.2850057,z:0.0036554125
x:0.54970276,y:0.26788235,z:-6.999621E-4
x:0.56002736,y:0.269161,z:-6.8119104E-4
x:0.5392999,y:0.26852906,z:0.002493584
x:0.5319006,y:0.27091208,z:0.0062873093
x:0.5189115,y:0.2850677,z:0.018273111
x:0.5464916,y:0.3637585,z:0.0016024539
x:0.5309582,y:0.27857903,z:0.015340877
x:0.49017152,y:0.2800674,z:0.05987763
x:0.50877154,y:0.28051168,z:0.027820654
x:0.54641414,y:0.3090106,z:-0.006492803
x:0.57939136,y:0.33067974,z:-0.02603444
x:0.57861644,y:0.33664063,z:-0.021829728
x:0.5654557,y:0.33191958,z:-0.020517731
x:0.55612814,y:0.33369702,z:-0.013538857
x:0.5682466,y:0.33636004,z:-0.018099232
x:0.5599553,y:0.33655035,z:-0.011602477
x:0.5421664,y:0.34465498,z:0.0014117796
x:0.58785063,y:0.3140612,z:-0.048939057
x:0.5879107,y:0.30856153,z:-0.05178435
x:0.51962584,y:0.26473865,z:0.009492218
x:0.5688468,y:0.29608548,z:-0.007385909
x:0.5669044,y:0.31248826,z:-0.02620832
x:0.5662606,y:0.3095944,z:-0.023410447
x:0.5165822,y:0.30702376,z:0.005244035
x:0.589425,y:0.3019978,z:-0.04622022
x:0.5446025,y:0.25842026,z:-0.0065599834
x:0.53055066,y:0.2603327,z:8.684074E-4
x:0.51483023,y:0.24468035,z:0.03929667
x:0.58463484,y:0.26571682,z:-0.014748108
x:0.568613,y:0.27241716,z:0.0020351757
x:0.5366481,y:0.33835033,z:0.0031021608
x:0.4899484,y:0.33508477,z:0.08491622
x:0.57327706,y:0.31605235,z:-0.022683317
x:0.58003217,y:0.31813654,z:-0.023410447
x:0.5451875,y:0.3374589,z:0.0020411033
x:0.54769254,y:0.33766723,z:-5.5374554E-4
x:0.5261779,y:0.25659198,z:0.0053388784
x:0.56579846,y:0.31521505,z:-0.021118404
x:0.56231284,y:0.25960204,z:-0.011910717
x:0.56198066,y:0.2549028,z:-0.013807579
x:0.5573769,y:0.23299685,z:0.0032839435
x:0.52114224,y:0.2511713,z:0.01939542
x:0.5610425,y:0.24488193,z:-0.0061885146
x:0.5141337,y:0.26233035,z:0.017451137
