x:0.51034117,y:0.3551316,z:-0.02357721
x:0.50520366,y:0.33536345,z:-0.05315073
x:0.5067409,y:0.340359,z:-0.025865741
x:0.49627748,y:0.31441286,z:-0.042612836
x:0.50456285,y:0.32914644,z:-0.05755039
x:0.50429726,y:0.32052252,z:-0.054889306
x:0.5042712,y:0.29894644,z:-0.03182657
x:0.43690848,y:0.2969003,z:0.012045843
x:0.50340426,y:0.28282586,z:-0.027870426
x:0.5027197,y:0.27429247,z:-0.031524982
x:0.50102514,y:0.2407717,z:-0.026504403
x:0.5108167,y:0.35751694,z:-0.021909596
x:0.51115036,y:0.35990587,z:-0.01825504
x:0.51142013,y:0.3614973,z:-0.012915131
x:0.5119798,y:0.3631613,z:-0.010599987
x:0.51239026,y:0.36650726,z:-0.011070112
x:0.51285195,y:0.3704912,z:-0.012338562
x:0.513288,y:0.37415618,z:-0.009712959
x:0.5110431,y:0.37804902,z:0.0014669228
x:0.5058593,y:0.33822373,z:-0.047473747
x:0.4974495,y:0.33787778,z:-0.03292649
x:0.39691582,y:0.27210325,z:0.056876246
x:0.4637605,y:0.30045417,z:8.6485245E-4
x:0.45417058,y:0.30133688,z:0.0022585955
x:0.4448259,y:0.3017339,z:0.005543926
x:0.43277612,y:0.29940262,z:0.014290024
x:0.47201675,y:0.2988861,z:0.0011642245
x:0.44721985,y:0.28553057,z:-0.0042776936
x:0.45872965,y:0.28555807,z:-0.005056061
x:0.43696585,y:0.28698954,z:-1.9195843E-4
x:0.43077767,y:0.28954405,z:0.0045548896
x:0.42422834,y:0.30353534,z:0.020259723
x:0.4778368,y:0.38560462,z:0.017110774
x:0.43320352,y:0.29587555,z:0.015292366
x:0.39543036,y:0.2996313,z:0.06666904
x:0.41326854,y:0.29973793,z:0.030265402
x:0.45879447,y:0.3288697,z:-0.003514849
x:0.49818748,y:0.35416147,z:-0.021519303
x:0.50049126,y:0.35985678,z:-0.01601086
x:0.48740476,y:0.35611334,z:-0.014414209
x:0.48059827,y:0.3580442,z:-0.0059652645
x:0.49183628,y:0.35999653,z:-0.011256387
x:0.4851918,y:0.36040494,z:-0.0036700792
x:0.46747255,y:0.3662089,z:0.013110276
x:0.49738654,y:0.33532214,z:-0.05187341
x:0.4954889,y:0.32937676,z:-0.055882774
x:0.4169311,y:0.28518057,z:0.0069942176
x:0.4776797,y:0.31280717,z:-0.00897229
x:0.477307,y:0.3329549,z:-0.025599632
x:0.47660017,y:0.32945663,z:-0.02299177
x:0.42955625,y:0.32833323,z:0.010608857
x:0.49555805,y:0.32138363,z:-0.051057342
x:0.4379635,y:0.2781737,z:-0.013145758
x:0.42516974,y:0.28073603,z:-0.004031543
x:0.40556422,y:0.2612552,z:0.03420381
x:0.4817939,y:0.2808571,z:-0.02359495
x:0.468827,y:0.28745946,z:-0.0022840977
x:0.45991012,y:0.36048725,z:0.0145383915
x:0.41792068,y:0.35595906,z:0.10516606
x:0.48482567,y:0.3363602,z:-0.02171445
x:0.49220362,y:0.33801094,z:-0.022814365
x:0.47245717,y:0.36104783,z:0.012684503
x:0.47488022,y:0.36114615,z:0.009455721
x:0.4200613,y:0.27726957,z:4.282683E-4
x:0.4776343,y:0.3352641,z:-0.01953236
x:0.45609856,y:0.27755356,z:-0.01983395
x:0.45374578,y:0.27301824,z:-0.022814365
x:0.4434731,y:0.24590853,z:-0.009553294
x:0.41341558,y:0.26880756,z:0.01478676
x:0.450783,y:0.25910854,z:-0.017030941
x:0.41147092,y:0.28264204,z:0.01544316
x:0.40401456,y:0.27735722,z:0.034824725
x:0.4991459,y:0.3572538,z:-0.01985169
x:0.48956242,y:0.35821626,z:-0.01322559
x:0.48282734,y:0.35926625,z:-0.0056459345
x:0.48717093,y:0.33725962,z:-0.019656545
x:0.4737396,y:0.3610952,z:0.010919318
x:0.47800475,y:0.36290485,z:0.0052778176
x:0.47616264,y:0.3611935,z:0.0090920385
x:0.48811963,y:0.33491802,z:-0.036368154
x:0.4872407,y:0.36115208,z:-0.001739684
x:0.49378178,y:0.36122578,z:-0.006768025
x:0.5017471,y:0.36134326,z:-0.010954798
x:0.49810266,y:0.377898,z:0.0024992018
x:0.50018024,y:0.37368974,z:-0.008440073
x:0.5004403,y:0.3698473,z:-0.010591117
x:0.5009839,y:0.3659976,z:-0.009136391
x:0.5020104,y:0.36285493,z:-0.00865296
x:0.48729828,y:0.36186984,z:2.6541546E-5
x:0.48513216,y:0.36320344,z:-8.3824166E-4
x:0.48286265,y:0.36501914,z:-0.001693115
x:0.48117304,y:0.36697996,z:5.1918864E-4
x:0.46865448,y:0.35083547,z:-0.003448322
x:0.40155673,y:0.3255277,z:0.11439115
x:0.5063678,y:0.33924967,z:-0.033600625
x:0.4822912,y:0.36143753,z:0.0054552234
x:0.48007387,y:0.36213312,z:0.004909701
x:0.49508297,y:0.34025535,z:-0.022406332
x:0.48116395,y:0.3385309,z:-0.011717643
x:0.4937174,y:0.33917123,z:-0.02300951
x:0.46759844,y:0.31641942,z:-0.0041734674
x:0.4514782,y:0.3209042,z:2.4587312E-4
x:0.47552246,y:0.33196133,z:-0.01669387
x:0.42019194,y:0.25233316,z:0.010848355
x:0.42831892,y:0.26243576,z:-0.0019913784
x:0.4342025,y:0.273794,z:-0.012036973
x:0.4753708,y:0.37080327,z:0.008852541
x:0.47763202,y:0.27325106,z:-0.02893486
x:0.47455093,y:0.25786597,z:-0.026167331
x:0.46932715,y:0.24233544,z:-0.022104742
x:0.43724117,y:0.30104738,z:0.010236305
x:0.41387582,y:0.3081934,z:0.027214026
x:0.47729564,y:0.29739356,z:0.0020346208
x:0.42197937,y:0.29232457,z:0.013899731
x:0.4840299,y:0.3087302,z:-0.013704586
x:0.4819868,y:0.33107802,z:-0.036439117
x:0.40475452,y:0.31226075,z:0.04009367
x:0.42002788,y:0.31227264,z:0.018645333
x:0.43232924,y:0.31419802,z:0.008945679
x:0.45150897,y:0.31243256,z:0.0032753516
x:0.46562403,y:0.30951706,z:-1.426175E-4
x:0.4757501,y:0.30646303,z:-0.0040825475
x:0.49531245,y:0.3006123,z:-0.027018879
x:0.4081495,y:0.32536036,z:0.039774343
x:0.41433015,y:0.29171962,z:0.018822737
x:0.5010196,y:0.3381068,z:-0.04658672
x:0.4789068,y:0.31924903,z:-0.012090194
x:0.3932274,y:0.2978492,z:0.10069544
x:0.48344028,y:0.30315122,z:-0.0067059333
x:0.47481358,y:0.3319793,z:-0.0063466867
x:0.42861485,y:0.29623178,z:0.017483326
x:0.48149952,y:0.32677504,z:-0.033228073
x:0.40843707,y:0.34045675,z:0.11247517
x:0.47712928,y:0.29532003,z:0.0040692417
x:0.48819724,y:0.3234884,z:-0.04413852
x:0.4386241,y:0.3714163,z:0.05315073
x:0.44136602,y:0.37726033,z:0.07252342
x:0.40087342,y:0.3258647,z:0.0772779
x:0.42590743,y:0.36342806,z:0.06464661
x:0.39893037,y:0.2874755,z:0.05347006
x:0.47726655,y:0.39089343,z:0.02457068
x:0.50252056,y:0.3391076,z:-0.0327136
x:0.4706037,y:0.32377514,z:-0.007011958
x:0.40570837,y:0.30112854,z:0.041122627
x:0.44578844,y:0.29779372,z:0.0057523777
x:0.45373452,y:0.29767194,z:0.0028473604
x:0.47608382,y:0.36375275,z:0.007264761
x:0.41254386,y:0.33763546,z:0.045451324
x:0.49504894,y:0.3982736,z:0.027604317
x:0.46811584,y:0.3901667,z:0.04726086
x:0.45604205,y:0.3848792,z:0.05826001
x:0.50178236,y:0.25729463,z:-0.030087994
x:0.5144462,y:0.39921972,z:0.023843318
x:0.46177763,y:0.2969883,z:0.0017984497
x:0.46951795,y:0.2960726,z:0.0025879047
x:0.47460285,y:0.2957038,z:0.0041690324
x:0.40792495,y:0.29068348,z:0.02928967
x:0.46778026,y:0.29212102,z:2.1205518E-4
x:0.4590421,y:0.29122403,z:-0.001321672
x:0.4505353,y:0.29143995,z:-3.4178304E-4
x:0.44267875,y:0.29267824,z:0.0028318374
x:0.4379606,y:0.29407662,z:0.006639406
x:0.39293927,y:0.28363186,z:0.08082601
x:0.44064596,y:0.29744476,z:0.009163002
x:0.5072602,y:0.34506074,z:-0.022565996
x:0.4774789,y:0.34749484,z:-0.010191954
x:0.48461992,y:0.33556628,z:-0.025936704
x:0.49437737,y:0.3456275,z:-0.020650016
x:0.5040184,y:0.29048198,z:-0.025918964
x:0.4520241,y:0.37906757,z:0.044493333
x:0.46441987,y:0.3848264,z:0.03528598
x:0.4933752,y:0.39511955,z:0.014831111
x:0.42935237,y:0.36829528,z:0.08990918
x:0.47417852,y:0.29395646,z:0.002421587
x:0.48975766,y:0.31106216,z:-0.027834944
x:0.513185,y:0.39589536,z:0.011442663
x:0.4805766,y:0.39496493,z:0.035694014
x:0.40679434,y:0.33945957,z:0.07820041
x:0.49387136,y:0.3623423,z:-0.004670203
x:0.49193656,y:0.36478883,z:-0.0054685287
x:0.49032375,y:0.36770666,z:-0.0064043435
x:0.48930362,y:0.3709291,z:-0.004361961
x:0.4853701,y:0.37502462,z:0.0045127557
x:0.4799587,y:0.3606976,z:0.0031888664
x:0.47764546,y:0.36019692,z:0.0033330084
x:0.47575113,y:0.35960567,z:0.0033108327
x:0.4623299,y:0.35523143,z:0.005229031
x:0.4247024,y:0.34132254,z:0.024517458
x:0.48978096,y:0.3042689,z:-0.019692026
x:0.48387283,y:0.2908335,z:-0.004475057
x:0.47811103,y:0.29161906,z:-4.5529494E-5
x:0.482272,y:0.36119828,z:0.004366396
x:0.42739436,y:0.35539892,z:0.043145053
x:0.4920961,y:0.2906248,z:-0.018033283
x:0.48122978,y:0.38008437,z:0.011513625
x:0.50428855,y:0.31333047,z:-0.046835087
x:0.49575925,y:0.307953,z:-0.036031086
x:0.5043055,y:0.30645746,z:-0.039100204
x:0.48402268,y:0.3210371,z:-0.025564153
x:0.51233745,y:0.39064255,z:0.004812128
x:0.51165825,y:0.383947,z:0.0035192843
x:0.4958695,y:0.38370848,z:0.0061914567
x:0.45957023,y:0.36864707,z:0.020188762
x:0.46696776,y:0.33689335,z:-0.0024615033
x:0.4696069,y:0.37510508,z:0.016445503
x:0.4440516,y:0.33635625,z:0.0027741806
x:0.45823827,y:0.3431884,z:0.0011675508
x:0.43807194,y:0.34593785,z:0.013438477
x:0.49354568,y:0.39016056,z:0.008409027
x:0.47931626,y:0.32435313,z:-0.017172866
x:0.45309746,y:0.3729669,z:0.031258874
x:0.4655572,y:0.37952322,z:0.025759298
x:0.45102277,y:0.36127222,z:0.019922653
x:0.4174163,y:0.34790057,z:0.051021863
x:0.44022137,y:0.3621058,z:0.03053151
x:0.41433346,y:0.35197452,z:0.07635538
x:0.45202783,y:0.350778,z:0.008063086
x:0.4845353,y:0.31503057,z:-0.019390436
x:0.48505908,y:0.33395684,z:-0.038497023
x:0.48045713,y:0.3350326,z:-0.026717288
x:0.48801294,y:0.330046,z:-0.04658672
x:0.474931,y:0.28562635,z:-0.008009864
x:0.45779043,y:0.28270504,z:-0.009500071
x:0.44330326,y:0.28275308,z:-0.007934467
x:0.4319342,y:0.2844801,z:-0.0027187413
x:0.42480475,y:0.2876978,z:0.0044462285
x:0.42192456,y:0.29784003,z:0.02203378
x:0.39668584,y:0.31262538,z:0.07266535
x:0.42945987,y:0.3058799,z:0.015336717
x:0.43929338,y:0.30714867,z:0.008914634
x:0.45245335,y:0.30649498,z:0.0041291164
x:0.46494383,y:0.30457968,z:0.0013593707
x:0.4745795,y:0.30249706,z:-1.0069156E-4
x:0.48109606,y:0.30049366,z:-0.001404831
x:0.39702162,y:0.31149808,z:0.11098496
x:0.4809912,y:0.3363776,z:-0.021466082
x:0.48953497,y:0.31714126,z:-0.0345941
x:0.49092966,y:0.33452705,z:-0.046764128
x:0.49639305,y:0.33710545,z:-0.042399947
x:0.49141896,y:0.33531377,z:-0.041654844
x:0.483813,y:0.33790424,z:-0.017847007
x:0.49814558,y:0.33770028,z:-0.045096513
x:0.49951118,y:0.33878443,z:-0.032802302
x:0.48083478,y:0.2954657,z:0.0023971938
x:0.48607963,y:0.29709068,z:-0.003794263
x:0.48873404,y:0.29830194,z:-0.010901576
x:0.43520176,y:0.2951056,z:0.010422581
x:0.4273862,y:0.2924271,z:0.010945928
x:0.51285934,y:0.3139121,z:-0.043890156
x:0.576788,y:0.29263064,z:0.0027143063
x:0.5157263,y:0.33725405,z:-0.0339377
x:0.61934394,y:0.26525885,z:0.043819193
x:0.54997563,y:0.29842567,z:-0.0051846798
x:0.55992585,y:0.2984928,z:-0.004949617
x:0.5696959,y:0.29808497,z:-0.002783051
x:0.58252215,y:0.29504234,z:0.004412965
x:0.5411149,y:0.29777154,z:-0.0036767318
x:0.56229424,y:0.28197044,z:-0.01196601
x:0.55057764,y:0.28290713,z:-0.011185425
x:0.5733009,y:0.28280985,z:-0.009029947
x:0.5807236,y:0.28501886,z:-0.005011709
x:0.59276026,y:0.29869825,z:0.0096508665
x:0.5487525,y:0.38412428,z:0.012924001
x:0.58081645,y:0.2914895,z:0.0055217505
x:0.6269516,y:0.29279584,z:0.05222822
x:0.60463345,y:0.2944012,z:0.01829052
x:0.5585821,y:0.32601723,z:-0.00944685
x:0.5222709,y:0.35331044,z:-0.023169177
x:0.5217455,y:0.35915747,z:-0.017527677
