x:0.51981634,y:0.30760998,z:-0.035185758
x:0.5116192,y:0.28803018,z:-0.05127797
x:0.51568234,y:0.29634747,z:-0.031466026
x:0.49935132,y:0.27431673,z:-0.03205671
x:0.5094604,y:0.28233743,z:-0.052714773
x:0.5073663,y:0.2764882,z:-0.046616334
x:0.50341284,y:0.2637979,z:-0.0146793565
x:0.44625032,y:0.27636653,z:0.026740534
x:0.4995867,y:0.25264174,z:-0.0034383538
x:0.4969131,y:0.24543008,z:-0.0019935668
x:0.48741704,y:0.21970937,z:0.01930108
x:0.5209213,y:0.3098989,z:-0.034866467
x:0.522056,y:0.3122577,z:-0.032759152
x:0.5229285,y:0.3136915,z:-0.030188866
x:0.52791524,y:0.32232773,z:-0.02768244
x:0.52862847,y:0.32400456,z:-0.031003056
x:0.5293905,y:0.3264135,z:-0.0341321
x:0.5306387,y:0.32934797,z:-0.034291744
x:0.5311043,y:0.3344561,z:-0.028273126
x:0.5135022,y:0.29183948,z:-0.047542278
x:0.50727034,y:0.2938601,z:-0.035153825
x:0.40793034,y:0.26438653,z:0.0826961
x:0.47013983,y:0.27603218,z:0.014567604
x:0.46165317,y:0.27769145,z:0.015740994
x:0.45351472,y:0.2789345,z:0.018886002
x:0.4426974,y:0.27928236,z:0.027666477
x:0.47730592,y:0.2737381,z:0.0153339
x:0.45394066,y:0.26388198,z:0.015477581
x:0.46349952,y:0.26289096,z:0.015317937
x:0.44513014,y:0.2663235,z:0.01877425
x:0.4399274,y:0.26968297,z:0.022557836
x:0.4359558,y:0.2838092,z:0.031529885
x:0.50081617,y:0.35123774,z:-0.018215494
x:0.44324493,y:0.2764017,z:0.030428333
x:0.41110882,y:0.28914773,z:0.07528858
x:0.4261832,y:0.28290844,z:0.042912573
x:0.46846497,y:0.2967929,z:-0.003703764
x:0.50576156,y:0.30883676,z:-0.03288687
x:0.50972414,y:0.314139,z:-0.030316584
x:0.49344116,y:0.3135235,z:-0.02646914
x:0.4861783,y:0.31775117,z:-0.018087776
x:0.499766,y:0.31666112,z:-0.025032336
x:0.49259457,y:0.31925142,z:-0.017193764
x:0.4832918,y:0.3301063,z:-0.0060265986
x:0.5047229,y:0.28910607,z:-0.05003274
x:0.50150025,y:0.28399968,z:-0.051086392
x:0.42661977,y:0.26726353,z:0.028831884
x:0.48271632,y:0.28120926,z:-2.6690646E-4
x:0.48546803,y:0.2935442,z:-0.026006168
x:0.48380148,y:0.2914786,z:-0.022206618
x:0.44068003,y:0.301862,z:0.010784019
x:0.50008136,y:0.27850282,z:-0.043231864
x:0.44425303,y:0.25654325,z:0.013066943
x:0.43332863,y:0.261116,z:0.02075385
x:0.41296348,y:0.25152093,z:0.06788105
x:0.48227805,y:0.2539371,z:9.638566E-4
x:0.4724998,y:0.26367408,z:0.017050084
x:0.47340757,y:0.3250839,z:-0.0019187332
x:0.44024122,y:0.34343487,z:0.07694888
x:0.49370173,y:0.2956124,z:-0.024090428
x:0.5020215,y:0.29633936,z:-0.026772464
x:0.48044714,y:0.32465357,z:-0.0020953405
x:0.483304,y:0.3242691,z:-0.0045897937
x:0.4280653,y:0.259239,z:0.027203506
x:0.48637334,y:0.2965987,z:-0.02199908
x:0.45985472,y:0.2537048,z:0.006365844
x:0.4569186,y:0.24988948,z:0.006385799
x:0.44122005,y:0.23058058,z:0.034227885
x:0.4205182,y:0.25430834,z:0.04479638
x:0.45011675,y:0.23883832,z:0.020019481
x:0.4214243,y:0.26678088,z:0.03818708
x:0.41422087,y:0.26512808,z:0.05919636
x:0.5075066,y:0.31170434,z:-0.03247179
x:0.49650908,y:0.3151789,z:-0.026133886
x:0.48926222,y:0.318518,z:-0.018407067
x:0.49647245,y:0.2965691,z:-0.022781339
x:0.48193765,y:0.32445297,z:-0.0033844735
x:0.4876681,y:0.32619324,z:-0.010209297
x:0.4847945,y:0.3240685,z:-0.0049330303
x:0.496493,y:0.29198653,z:-0.035792407
x:0.4949439,y:0.31952617,z:-0.016682902
x:0.5021397,y:0.31730196,z:-0.022685552
x:0.5115606,y:0.31536922,z:-0.027778227
x:0.5180676,y:0.33591515,z:-0.026501067
x:0.51642466,y:0.3308178,z:-0.031992856
x:0.51561385,y:0.3276767,z:-0.031577777
x:0.5155323,y:0.32532394,z:-0.028209269
x:0.5158722,y:0.3236531,z:-0.025128122
x:0.49788305,y:0.32489228,z:-0.0146154985
x:0.49628735,y:0.32577187,z:-0.017193764
x:0.4944326,y:0.32727724,z:-0.01926915
x:0.493253,y:0.32913497,z:-0.017944096
x:0.48031223,y:0.3132222,z:-0.0131228175
x:0.42044485,y:0.31773388,z:0.10249208
x:0.5145774,y:0.29405853,z:-0.036782205
x:0.49181277,y:0.32482287,z:-0.008469166
x:0.48966613,y:0.3253334,z:-0.010089563
x:0.50505435,y:0.29822108,z:-0.028480668
x:0.49089977,y:0.29983062,z:-0.017129907
x:0.5037391,y:0.29729006,z:-0.027762264
x:0.47398734,y:0.2860036,z:0.002103323
x:0.4601307,y:0.29170966,z:0.0044381307
x:0.48358887,y:0.29468355,z:-0.017864274
x:0.42348397,y:0.24013284,z:0.05038396
