x:0.5008664,y:0.3111695,z:-0.03333834
x:0.50022113,y:0.2932325,z:-0.053379886
x:0.49903294,y:0.30030248,z:-0.031491566
x:0.48565274,y:0.27734056,z:-0.03680707
x:0.49894845,y:0.28735015,z:-0.05540331
x:0.49622974,y:0.280766,z:-0.049686335
x:0.4885224,y:0.26607877,z:-0.018483829
x:0.4132261,y:0.27217963,z:0.012999705
x:0.4843812,y:0.25471452,z:-0.007708287
x:0.48240778,y:0.24738777,z:-0.007033812
x:0.47313008,y:0.21766596,z:0.012694585
x:0.50140965,y:0.31368026,z:-0.032695983
x:0.5014738,y:0.3163694,z:-0.030335322
x:0.5013206,y:0.31805426,z:-0.027139593
x:0.50103116,y:0.3185109,z:-0.02641694
x:0.5016864,y:0.32094115,z:-0.029419962
x:0.50232273,y:0.32388234,z:-0.032920808
x:0.5025265,y:0.3272171,z:-0.03365952
x:0.5051265,y:0.33504695,z:-0.027846185
x:0.5002164,y:0.29679993,z:-0.04914033
x:0.49013817,y:0.29807225,z:-0.037320957
x:0.36616203,y:0.25563672,z:0.061859
x:0.44239822,y:0.27302176,z:0.005022431
x:0.43281454,y:0.27418742,z:0.004496501
x:0.42304128,y:0.27507484,z:0.006186703
x:0.40822342,y:0.27477884,z:0.01322453
x:0.4507255,y:0.27143252,z:0.007435285
x:0.4272685,y:0.260517,z:0.0030913441
x:0.43840683,y:0.2605553,z:0.0049862983
x:0.4164716,y:0.2620569,z:0.0048337383
x:0.40903032,y:0.26475024,z:0.007872892
x:0.40032905,y:0.278668,z:0.016540699
x:0.46895456,y:0.35150045,z:-0.022048911
x:0.40933812,y:0.2721546,z:0.016074989
x:0.36775547,y:0.28184426,z:0.0568165
x:0.38842177,y:0.27657118,z:0.026176056
x:0.44218594,y:0.2959678,z:-0.012333259
x:0.48592103,y:0.31088224,z:-0.03365952
x:0.48789346,y:0.3170079,z:-0.03017473
x:0.4708124,y:0.31402767,z:-0.029564492
x:0.46072403,y:0.31704783,z:-0.022707328
x:0.47595215,y:0.31804374,z:-0.026962945
x:0.46624094,y:0.31921813,z:-0.020410901
x:0.45133144,y:0.32926577,z:-0.011907698
x:0.49220222,y:0.29385424,z:-0.053251415
x:0.48982835,y:0.28826568,z:-0.055082135
x:0.3939965,y:0.26046512,z:0.010671159
x:0.46037272,y:0.28132787,z:-0.007246593
x:0.46564484,y:0.29552665,z:-0.032005448
x:0.46366775,y:0.29296845,z:-0.02840825
x:0.40857998,y:0.29855952,z:-0.0027139592
x:0.4877284,y:0.28214875,z:-0.047855612
x:0.41875118,y:0.25225505,z:-0.0016460405
x:0.4041449,y:0.2553297,z:0.0037678268
x:0.37707722,y:0.24327815,z:0.047405966
x:0.46417943,y:0.2540591,z:-0.006519926
x:0.44802362,y:0.26193532,z:0.008527292
x:0.44065255,y:0.32417294,z:-0.009209797
x:0.38594007,y:0.33927488,z:0.064781725
x:0.473628,y:0.29832888,z:-0.0282316
x:0.48238647,y:0.29933086,z:-0.028954253
x:0.4491917,y:0.32176843,z:-0.008029466
x:0.4518543,y:0.32151335,z:-0.009707624
x:0.3984961,y:0.25254965,z:0.009282063
x:0.46467322,y:0.2982139,z:-0.027380476
x:0.4381169,y:0.25143892,z:-0.005094696
x:0.43604568,y:0.24724922,z:-0.0058655245
x:0.41838378,y:0.22483522,z:0.018628359
x:0.389439,y:0.24807379,z:0.025597936
x:0.42973986,y:0.23545076,z:0.0059377896
x:0.38770938,y:0.25922114,z:0.019158304
x:0.3777721,y:0.25815427,z:0.039376497
x:0.4867625,y:0.31417337,z:-0.032872632
x:0.4734771,y:0.3161748,z:-0.028617015
x:0.46342647,y:0.31817323,z:-0.022354033
x:0.47588578,y:0.2991935,z:-0.02614394
x:0.450579,y:0.32160065,z:-0.008808323
x:0.4569798,y:0.32247284,z:-0.015135542
x:0.4534002,y:0.32148033,z:-0.009924419
x:0.47952342,y:0.29566857,z:-0.040661212
x:0.4682126,y:0.31995672,z:-0.019302834
x:0.47774637,y:0.3191585,z:-0.023815395
x:0.4890156,y:0.31860542,z:-0.027075358
x:0.4909706,y:0.336016,z:-0.028167365
x:0.48840505,y:0.32774702,z:-0.033820108
x:0.48831326,y:0.3243318,z:-0.033177752
x:0.4884421,y:0.32133824,z:-0.02932361
x:0.48885366,y:0.31905332,z:-0.026336648
x:0.46805066,y:0.3204046,z:-0.018532006
x:0.46648252,y:0.32153112,z:-0.021133553
x:0.46476796,y:0.32317728,z:-0.023510275
x:0.4633861,y:0.32516462,z:-0.022482503
x:0.4526167,y:0.31367174,z:-0.019061951
x:0.3668702,y:0.3109514,z:0.08691093
x:0.4995687,y:0.29859143,z:-0.03738519
x:0.46079695,y:0.32097396,z:-0.013256647
x:0.45899263,y:0.32160705,z:-0.014838452
x:0.4858973,y:0.3012017,z:-0.030367438
x:0.46782574,y:0.30141962,z:-0.02086055
x:0.4842772,y:0.30029342,z:-0.029773258
x:0.44970542,y:0.28526124,z:-0.00623488
x:0.43323377,y:0.28988317,z:-0.0061826883
x:0.46169138,y:0.2957973,z:-0.0237351
x:0.39398062,y:0.23287562,z:0.031764563
x:0.4060877,y:0.24038222,z:0.014854511
x:0.41483682,y:0.2485191,z:0.001419208
x:0.4622755,y:0.3325933,z:-0.018162651
x:0.45985276,y:0.24722104,z:-0.008374732
x:0.45248583,y:0.23291087,z:0.0018046224
x:0.44363612,y:0.2201218,z:0.012076316
x:0.41392452,y:0.27540776,z:0.009563093
x:0.39000824,y:0.28330564,z:0.019945193
x:0.456073,y:0.2698289,z:0.009587182
x:0.39819062,y:0.26818582,z:0.014958894
x:0.46721748,y:0.2770738,z:-0.009249944
x:0.4725294,y:0.29265302,z:-0.040211566
x:0.38050628,y:0.28963438,z:0.027781952
x:0.3975329,y:0.28548408,z:0.010679189
x:0.41136324,y:0.28570208,z:0.002728011
x:0.4314233,y:0.28330967,z:2.2658148E-4
x:0.44613382,y:0.28011867,z:1.6786602E-4
x:0.45708385,y:0.27689394,z:-5.244245E-4
x:0.47955412,y:0.26829427,z:-0.016010754
x:0.38311708,y:0.30110338,z:0.021695616
x:0.39038187,y:0.2682836,z:0.018901363
x:0.49535477,y:0.29705995,z:-0.04920456
x:0.4627999,y:0.28596643,z:-0.013144235
x:0.35998487,y:0.28361377,z:0.088195644
x:0.46499208,y:0.27336782,z:-1.6309852E-4
x:0.45956656,y:0.2967435,z:-0.01397127
x:0.4036957,y:0.27239525,z:0.017311528
x:0.47042817,y:0.28952092,z:-0.035650827
x:0.3744689,y:0.32513648,z:0.07830335
x:0.45538,y:0.26842037,z:0.012686556
x:0.4790894,y:0.2852881,z:-0.0435197
x:0.4160799,y:0.34638423,z:0.014404861
x:0.41739613,y:0.3557579,z:0.02808707
x:0.37165895,y:0.30676526,z:0.05405436
x:0.398902,y:0.3408627,z:0.026786298
x:0.37187612,y:0.26918644,z:0.051035285
x:0.46897623,y:0.35877877,z:-0.019543719
x:0.49583927,y:0.29870114,z:-0.03709613
x:0.4541198,y:0.29071015,z:-0.011650754
x:0.37975514,y:0.27898443,z:0.034558818
x:0.42365256,y:0.27132028,z:0.007941141
x:0.43192652,y:0.27068108,z:0.0063794106
x:0.4551411,y:0.3235451,z:-0.014051564
x:0.38572282,y:0.31344634,z:0.021197788
x:0.49023005,y:0.36489487,z:-0.019447366
x:0.45527923,y:0.36306515,z:0.0010368048
x:0.43830684,y:0.36058712,z:0.013216501
x:0.4777912,y:0.23143336,z:0.002312486
x:0.5107935,y:0.36363277,z:-0.020410901
x:0.4399299,y:0.2699876,z:0.0070057088
x:0.4473921,y:0.26918557,z:0.009330239
x:0.45260534,y:0.2687559,z:0.012052228
x:0.38293856,y:0.26857474,z:0.02808707
x:0.44703177,y:0.26811826,z:0.009113444
x:0.43909386,y:0.26851606,z:0.0067929276
x:0.43144202,y:0.2690399,z:0.006194732
x:0.4230871,y:0.26990303,z:0.007407182
x:0.41669166,y:0.27085042,z:0.009771859
x:0.3608859,y:0.26833722,z:0.077404045
x:0.41756213,y:0.27188283,z:0.010478453
x:0.49979007,y:0.30440015,z:-0.029982023
x:0.46413016,y:0.30946204,z:-0.023702983
x:0.47379333,y:0.29729837,z:-0.03110615
x:0.4853292,y:0.3057541,z:-0.030913442
x:0.48603648,y:0.26057068,z:-0.009274033
x:0.4347244,y:0.35180536,z:0.0038862613
x:0.45121098,y:0.35562703,z:-0.0074553587
x:0.4891126,y:0.3597299,z:-0.029130902
x:0.40066963,y:0.34933192,z:0.046635136
x:0.45272073,y:0.2680928,z:0.01126534
x:0.47595164,y:0.27676708,z:-0.022048911
x:0.5105998,y:0.35855013,z:-0.029676905
x:0.47241694,y:0.3645127,z:-0.01156243
x:0.37690508,y:0.31994665,z:0.048787035
x:0.47772747,y:0.31966937,z:-0.023060624
x:0.47631454,y:0.32151327,z:-0.026063645
x:0.47540835,y:0.32390484,z:-0.028906075
x:0.47502443,y:0.32691583,z:-0.028745487
x:0.47561496,y:0.33502886,z:-0.02447381
x:0.45821866,y:0.32042247,z:-0.01458954
x:0.45567143,y:0.32001448,z:-0.0147581585
x:0.45350677,y:0.31958026,z:-0.014926777
x:0.44369704,y:0.31850463,z:-0.013553739
x:0.40052682,y:0.3133793,z:0.0027962613
x:0.4735555,y:0.27227202,z:-0.011747108
x:0.46391705,y:0.26361364,z:0.008165967
x:0.45712015,y:0.2650981,z:0.010767513
x:0.46073487,y:0.32068703,z:-0.013915064
x:0.40170956,y:0.32931396,z:0.012582172
x:0.47447443,y:0.26216292,z:-0.004014733
x:0.4713593,y:0.34347358,z:-0.022771563
x:0.49359742,y:0.27577752,z:-0.038862612
x:0.48279303,y:0.27309564,z:-0.026979003
x:0.49117023,y:0.271139,z:-0.02811919
x:0.47086537,y:0.2855599,z:-0.025100108
