x:0.50506264,y:0.32724205,z:-0.034303177
x:0.50368595,y:0.30395535,z:-0.05231998
x:0.50378126,y:0.31244603,z:-0.02987532
x:0.49380723,y:0.28674003,z:-0.03535501
x:0.503331,y:0.29777062,z:-0.054593287
x:0.50260186,y:0.29075867,z:-0.049164496
x:0.50044614,y:0.27438974,z:-0.018440928
x:0.43093434,y:0.27886355,z:0.02052762
x:0.49902937,y:0.259599,z:-0.008949024
x:0.4982618,y:0.25117284,z:-0.008940542
x:0.49537182,y:0.22113442,z:0.009101708
x:0.50541973,y:0.33013612,z:-0.033777267
x:0.505805,y:0.33325863,z:-0.030893218
x:0.5060775,y:0.33546725,z:-0.026991274
x:0.50652856,y:0.3391229,z:-0.025583182
x:0.5071752,y:0.34215868,z:-0.027686838
x:0.50776166,y:0.34580904,z:-0.029824425
x:0.5082127,y:0.34946468,z:-0.028399367
x:0.50560224,y:0.35477036,z:-0.01913649
x:0.5038944,y:0.30785003,z:-0.04797695
x:0.49656048,y:0.30905467,z:-0.034981776
x:0.38755813,y:0.25809655,z:0.07396729
x:0.4578624,y:0.28209776,z:0.009042332
x:0.44791842,y:0.28309816,z:0.009916027
x:0.43855745,y:0.28331056,z:0.012910346
x:0.42631194,y:0.2816459,z:0.021579448
x:0.4663209,y:0.28008395,z:0.010374081
x:0.44224074,y:0.26464745,z:0.008126223
x:0.45367962,y:0.2647366,z:0.008189842
x:0.43172315,y:0.26651207,z:0.011383498
x:0.4250585,y:0.2698333,z:0.015243029
x:0.41728348,y:0.2862073,z:0.025786761
x:0.47011322,y:0.36595118,z:-0.010348634
x:0.42741793,y:0.27792946,z:0.024107229
x:0.38567474,y:0.28583422,z:0.07071002
x:0.40555522,y:0.28322148,z:0.036881857
x:0.4537029,y:0.30682498,z:-0.0057892976
x:0.49273622,y:0.3265754,z:-0.032487925
x:0.49525365,y:0.3337471,z:-0.02926458
x:0.48078185,y:0.3300266,z:-0.026889484
x:0.47345906,y:0.33352655,z:-0.020069566
x:0.48614082,y:0.3348681,z:-0.025311742
x:0.47924128,y:0.33628535,z:-0.01876326
x:0.46101695,y:0.34625646,z:-0.0070107756
x:0.49611327,y:0.30432752,z:-0.051369943
x:0.49431598,y:0.2985817,z:-0.053270016
x:0.40967098,y:0.26530677,z:0.020680305
x:0.47212327,y:0.29072413,z:-0.0038786174
x:0.47530574,y:0.30659384,z:-0.027177889
x:0.4737583,y:0.30397582,z:-0.023734
x:0.422549,y:0.30903605,z:0.007154978
x:0.49404004,y:0.29193473,z:-0.04604294
x:0.432415,y:0.2555801,z:0.004614473
x:0.41885,y:0.25920898,z:0.012291124
x:0.3985833,y:0.24546021,z:0.057138033
x:0.4769302,y:0.2580129,z:-0.0054881694
x:0.46389228,y:0.2670163,z:0.010594627
x:0.4536309,y:0.34042272,z:-0.003823481
x:0.40563348,y:0.34505147,z:0.0819069
x:0.48330125,y:0.30964884,z:-0.024310809
x:0.49095467,y:0.31103364,z:-0.02599034
x:0.46601197,y:0.33932716,z:-0.0051870407
x:0.46871984,y:0.33922145,z:-0.00798202
x:0.41276878,y:0.25623226,z:0.018084664
x:0.4755932,y:0.3100263,z:-0.022495557
x:0.4510712,y:0.2546222,z:-0.0014261182
x:0.44873318,y:0.2500071,z:-0.0021630342
x:0.43966252,y:0.2272121,z:0.021799993
x:0.40752363,y:0.25065935,z:0.034710336
x:0.44743556,y:0.23838754,z:0.009228946
x:0.40322673,y:0.26379824,z:0.02994318
x:0.39614415,y:0.26097545,z:0.050555624
x:0.49374765,y:0.3303622,z:-0.03202987
x:0.48341244,y:0.33260232,z:-0.026702872
x:0.47608408,y:0.33495462,z:-0.02032404
x:0.4858981,y:0.31084839,z:-0.022427695
x:0.4675013,y:0.33926904,z:-0.0066502704
x:0.47200304,y:0.34047076,z:-0.012893381
x:0.47020918,y:0.3391633,z:-0.008253461
x:0.48666945,y:0.30607367,z:-0.036983646
x:0.48138496,y:0.33711997,z:-0.017490888
x:0.4880795,y:0.3362464,z:-0.021952678
x:0.49644575,y:0.3356902,z:-0.025634076
x:0.492721,y:0.35512018,z:-0.018678436
x:0.4952375,y:0.3490529,z:-0.02751719
x:0.49532804,y:0.34537613,z:-0.028535089
x:0.49597892,y:0.34183052,z:-0.026176954
x:0.4967238,y:0.3390465,z:-0.024158124
x:0.4814845,y:0.33902922,z:-0.016303342
x:0.47944975,y:0.34018004,z:-0.018203417
x:0.47721937,y:0.34195068,z:-0.019984739
x:0.47541398,y:0.34385777,z:-0.018440928
x:0.46458367,y:0.32775098,z:-0.015226064
x:0.38798746,y:0.3150534,z:0.103757784
x:0.5038867,y:0.3099931,z:-0.035999674
x:0.4763207,y:0.33907777,z:-0.011408946
x:0.47409418,y:0.3397769,z:-0.012723731
x:0.49314147,y:0.31332055,z:-0.027262716
x:0.4792053,y:0.31394115,z:-0.016447542
x:0.49218816,y:0.31220987,z:-0.02677073
x:0.46150956,y:0.29511783,z:-0.001343414
x:0.44512093,y:0.30011964,z:0.0010348635
x:0.47254702,y:0.30739027,z:-0.01883112
x:0.41552332,y:0.23500356,z:0.03827298
x:0.42404783,y:0.24289732,z:0.021274079
x:0.42823786,y:0.25149596,z:0.007702098
x:0.46922305,y:0.34991544,z:-0.012096027
x:0.4725587,y:0.25014833,z:-0.007523966
x:0.4706106,y:0.2365645,z:0.0018566045
x:0.4652588,y:0.22296047,z:0.011714315
x:0.4309002,y:0.28299728,z:0.017406063
x:0.40677318,y:0.29143873,z:0.030536953
x:0.4723329,y:0.27808917,z:0.01196879
x:0.41521022,y:0.27381447,z:0.024056334
x:0.47888952,y:0.28602147,z:-0.0066969236
x:0.48002785,y:0.30296582,z:-0.036169328
x:0.3959846,y:0.29606885,z:0.040376637
x:0.41341475,y:0.2945466,z:0.020595478
x:0.42654413,y:0.2951054,z:0.010891514
x:0.44612375,y:0.2928105,z:0.006527274
x:0.46040803,y:0.2894979,z:0.0045890254
x:0.47138646,y:0.28585523,z:0.0025489873
x:0.49131072,y:0.27642995,z:-0.014827388
x:0.39922556,y:0.3091048,z:0.034778196
x:0.4068459,y:0.2738349,z:0.02933244
x:0.499543,y:0.30786687,z:-0.04733228
x:0.4741256,y:0.29592627,z:-0.009491903
x:0.3810976,y:0.28677818,z:0.103486344
x:0.47931105,y:0.28171957,z:0.0019021977
x:0.47146004,y:0.30850407,z:-0.009262876
x:0.42210746,y:0.2784429,z:0.025922481
x:0.4789656,y:0.29986972,z:-0.031843256
x:0.3953315,y:0.32991886,z:0.0956146
x:0.47262076,y:0.2760117,z:0.014954626
x:0.48600265,y:0.29515648,z:-0.04061415
x:0.4292551,y:0.3562204,z:0.027534153
x:0.43075517,y:0.36396748,z:0.043124963
x:0.38976657,y:0.31238207,z:0.06948854
x:0.41574258,y:0.34924838,z:0.04153026
x:0.3900252,y:0.27257845,z:0.06375437
x:0.46935683,y:0.37194973,z:-0.006247352
x:0.5007539,y:0.30996233,z:-0.035287146
x:0.46580976,y:0.30130163,z:-0.0068326434
x:0.3974728,y:0.2855267,z:0.04672154
x:0.43973112,y:0.2795915,z:0.014165754
x:0.44762155,y:0.27958956,z:0.011587078
x:0.46996832,y:0.34162155,z:-0.011400463
x:0.4035027,y:0.32171768,z:0.034608547
x:0.48793533,y:0.37918314,z:-0.0058698812
x:0.45911944,y:0.3738799,z:0.01531089
x:0.44640774,y:0.37009072,z:0.0274154
x:0.4969052,y:0.23576754,z:-7.544112E-4
x:0.50766146,y:0.37917832,z:-0.009211981
x:0.455843,y:0.2789625,z:0.011154471
x:0.4638539,y:0.27773145,z:0.012554081
x:0.46946526,y:0.27690017,z:0.014751046
x:0.39944813,y:0.27397066,z:0.039698042
x:0.4632149,y:0.2725526,z:0.011926377
x:0.45438054,y:0.27152002,z:0.0105522135
x:0.4462287,y:0.27160868,z:0.011120541
x:0.43798462,y:0.27315494,z:0.013555015
x:0.43291098,y:0.2750366,z:0.016591744
x:0.3821687,y:0.27120158,z:0.091271564
x:0.43464637,y:0.27917778,z:0.01752482
x:0.50391626,y:0.31795064,z:-0.028840458
x:0.474212,y:0.32308963,z:-0.019407932
x:0.48298734,y:0.3082071,z:-0.027330574
x:0.49168935,y:0.31919324,z:-0.027958278
x:0.49970767,y:0.26730165,z:-0.009882098
x:0.44306856,y:0.36287457,z:0.016320305
x:0.45560342,y:0.36743593,z:0.005445757
x:0.48659676,y:0.37494993,z:-0.01643906
x:0.4178444,y:0.35635975,z:0.06300791
x:0.46958953,y:0.27459952,z:0.013792524
x:0.4859394,y:0.28582278,z:-0.020171355
x:0.50715405,y:0.3750657,z:-0.01934007
x:0.4725683,y:0.3770281,z:0.0027949796
x:0.39554802,y:0.32616064,z:0.06460263
x:0.48829177,y:0.33906958,z:-0.020578515
x:0.48664057,y:0.3411237,z:-0.02268217
x:0.48506454,y:0.34378713,z:-0.024582248
x:0.48408648,y:0.34688637,z:-0.02349649
x:0.47967446,y:0.35302764,z:-0.01674443
x:0.47370508,y:0.33772588,z:-0.012850968
x:0.47092202,y:0.33722234,z:-0.012749178
x:0.46852636,y:0.3365506,z:-0.012503186
x:0.45728135,y:0.33362246,z:-0.009407078
x:0.41711155,y:0.32340565,z:0.014174236
x:0.48517442,y:0.2807254,z:-0.010009335
x:0.4791013,y:0.2700958,z:0.008804821
x:0.4734391,y:0.27161777,z:0.012452291
x:0.47618917,y:0.33801153,z:-0.012138439
x:0.41912436,y:0.33916795,z:0.025159057
x:0.48773277,y:0.26838136,z:-0.0034799404
x:0.47410026,y:0.35967344,z:-0.0126304235
x:0.5019253,y:0.28527522,z:-0.03864621
x:0.49253824,y:0.28196844,z:-0.025871586
x:0.5011509,y:0.2801017,z:-0.028093997
x:0.4803349,y:0.2955308,z:-0.022105362
x:0.5066919,y:0.36911473,z:-0.023004506
x:0.50604177,y:0.36164054,z:-0.021036569
x:0.4893507,y:0.36198604,z:-0.018882016
x:0.4523402,y:0.3498093,z:-0.0016943769
x:0.4633266,y:0.31425494,z:-0.00760455
x:0.46231756,y:0.35569492,z:-0.006998052
x:0.43829748,y:0.3153851,z:-0.0033654268
x:0.45370936,y:0.32121164,z:-0.007294939
x:0.4316342,y:0.32643542,z:0.0019902035
x:0.48696575,y:0.36911955,z:-0.01991688
x:0.4751652,y:0.29994154,z:-0.016074315
x:0.44512635,y:0.35529467,z:0.006518791
x:0.45740536,y:0.36109045,z:-0.001043876
x:0.44420585,y:0.3423212,z:8.312838E-4
x:0.40835732,y:0.33239484,z:0.035388935
x:0.43244898,y:0.3446168,z:0.010594627
x:0.40326834,y:0.33856255,z:0.057104103
x:0.44652158,y:0.3302162,z:-0.004512683
x:0.48029387,y:0.2907878,z:-0.014377816
x:0.48355922,y:0.30512372,z:-0.03857835
x:0.4787619,y:0.30814248,z:-0.028704736
x:0.48664165,y:0.30033532,z:-0.04495718
x:0.4700811,y:0.26424932,z:0.006875056
x:0.4527942,y:0.2608683,z:0.0059631886
x:0.43839544,y:0.2610478,z:0.0067987135
x:0.4264543,y:0.26350367,z:0.0108151715
x:0.4185391,y:0.26771548,z:0.016769877
x:0.41481858,y:0.28056407,z:0.02984139
x:0.38600475,y:0.2989838,z:0.07057429
x:0.42280817,y:0.28798127,z:0.020171355
x:0.4330849,y:0.28857493,z:0.013953691
x:0.44656792,y:0.2875894,z:0.0096615525
x:0.45937783,y:0.2855588,z:0.007748752
x:0.46938586,y:0.2828723,z:0.007918402
x:0.47641525,y:0.28030208,z:0.0075706197
x:0.38380253,y:0.30098295,z:0.10715078
x:0.4793052,y:0.31034052,z:-0.024242949
x:0.4865032,y:0.29039234,z:-0.029061
x:0.48984757,y:0.30426604,z:-0.04638224
x:0.4955602,y:0.30756322,z:-0.043260686
x:0.4903063,y:0.30577865,z:-0.04183563
x:0.4821408,y:0.31237254,z:-0.021460691
x:0.4969423,y:0.30773884,z:-0.045975078
x:0.4982886,y:0.309829,z:-0.035083566
x:0.47612223,y:0.27572197,z:0.013368399
x:0.48137057,y:0.27635887,z:0.0072185965
x:0.4846482,y:0.27646047,z:1.4194912E-4
x:0.42983067,y:0.27653432,z:0.019849021
