x:0.5831249,y:0.3588932,z:-0.011492596
x:0.58346635,y:0.34823,z:-0.04368045
x:0.58222324,y:0.35061827,z:-0.018090464
x:0.5796503,y:0.32884428,z:-0.04076079
x:0.58462113,y:0.34318206,z:-0.048890047
x:0.5860291,y:0.33549422,z:-0.04863243
x:0.5894739,y:0.31542858,z:-0.035121832
x:0.5264163,y:0.30432874,z:-0.003803434
x:0.5922513,y:0.30089238,z:-0.035894684
x:0.59378153,y:0.29379433,z:-0.041762635
x:0.600225,y:0.26364034,z:-0.04765921
x:0.58279634,y:0.36068702,z:-0.009259913
x:0.58226347,y:0.3623395,z:-0.0057498766
x:0.5818245,y:0.3634795,z:-5.1389297E-4
x:0.5820523,y:0.36349267,z:5.617489E-4
x:0.5819481,y:0.36594695,z:0.0010698276
x:0.58168304,y:0.3686509,z:4.7006225E-4
x:0.5810529,y:0.37146318,z:0.0030341598
x:0.575515,y:0.3759334,z:0.013152798
x:0.58291006,y:0.35001063,z:-0.038098745
x:0.5743632,y:0.3482852,z:-0.025947792
x:0.4975169,y:0.2767236,z:0.023400243
x:0.55248046,y:0.31127775,z:-0.010354787
x:0.54328686,y:0.3111982,z:-0.009689275
x:0.534234,y:0.31034985,z:-0.00754962
x:0.5229591,y:0.30529383,z:-0.0014526756
x:0.55982006,y:0.31079662,z:-0.009581935
x:0.539261,y:0.29484335,z:-0.018534137
x:0.55013263,y:0.29644454,z:-0.018662946
x:0.5296787,y:0.29500026,z:-0.015371169
x:0.5235181,y:0.2965856,z:-0.011485441
x:0.51539147,y:0.30796304,z:0.0042506866
x:0.54309124,y:0.3801405,z:0.027965795
x:0.52347887,y:0.3018277,z:-0.0016101085
x:0.4891164,y:0.29996592,z:0.039987937
x:0.50603276,y:0.30250007,z:0.010605248
x:0.5402252,y:0.33419955,z:-0.0063402494
x:0.571868,y:0.3568812,z:-0.011063234
x:0.57167476,y:0.36107844,z:-0.004662159
x:0.5605338,y:0.35654813,z:-0.005474369
x:0.55252606,y:0.3562783,z:0.0018355236
x:0.56236243,y:0.35976186,z:-0.0012532012
x:0.5548841,y:0.3584868,z:0.005112989
x:0.5384241,y:0.36225936,z:0.020466268
x:0.5764754,y:0.34743643,z:-0.043165218
x:0.5763538,y:0.34244397,z:-0.048031323
x:0.51234543,y:0.29160023,z:-0.012866556
x:0.5613292,y:0.32266772,z:-0.014047301
x:0.5575496,y:0.34141904,z:-0.022799136
x:0.55770415,y:0.33806124,z:-0.021396553
x:0.51320094,y:0.32997897,z:0.0033150346
x:0.5781235,y:0.33529508,z:-0.046056256
x:0.532361,y:0.28978184,z:-0.029454252
x:0.5204339,y:0.2895439,z:-0.022341149
x:0.50820726,y:0.26957366,z:0.0019410752
x:0.5709248,y:0.29855585,z:-0.034234483
x:0.5589674,y:0.29974055,z:-0.015328233
x:0.5324587,y:0.35712254,z:0.019464424
x:0.49235588,y:0.3463817,z:0.092398755
x:0.56289715,y:0.34490144,z:-0.018090464
x:0.56907225,y:0.34700742,z:-0.017203115
x:0.5412506,y:0.3556249,z:0.018806066
x:0.54321855,y:0.35619217,z:0.016473198
x:0.5167806,y:0.28560933,z:-0.020451955
x:0.5566433,y:0.34259668,z:-0.016831001
x:0.54858226,y:0.2923405,z:-0.033633377
x:0.5477152,y:0.28827602,z:-0.037926998
x:0.5466,y:0.2623133,z:-0.036037806
x:0.51387656,y:0.27789822,z:-0.0115283765
x:0.5503366,y:0.27521992,z:-0.03821324
x:0.5079777,y:0.28810984,z:-0.0073242043
x:0.5030709,y:0.28316385,z:0.0064762137
x:0.57157123,y:0.35913008,z:-0.008716054
x:0.5613912,y:0.35815167,z:-0.0034885684
x:0.5537168,y:0.3573185,z:0.0029447097
x:0.5644765,y:0.34570515,z:-0.015686035
x:0.5422287,y:0.35594058,z:0.017560916
x:0.54728496,y:0.35849965,z:0.013632252
x:0.54419667,y:0.35650784,z:0.016244207
x:0.5672251,y:0.34515226,z:-0.031200325
x:0.5558705,y:0.35938564,z:0.0072955806
x:0.5631997,y:0.3608463,z:0.0032846213
x:0.57191914,y:0.36225802,z:2.931739E-4
x:0.5642195,y:0.37476087,z:0.013503443
x:0.5696,y:0.36989304,z:0.0033651267
x:0.57043445,y:0.3672221,z:0.0010519376
x:0.57129246,y:0.36442304,z:0.0017442842
x:0.57226086,y:0.3622778,z:0.0013927438
x:0.5560982,y:0.35939884,z:0.0082222875
x:0.5546811,y:0.36022317,z:0.008086323
x:0.5529893,y:0.36129054,z:0.007835861
x:0.55170614,y:0.36264056,z:0.010061389
x:0.54403645,y:0.35235485,z:0.0017201325
x:0.48601672,y:0.31940407,z:0.089364596
x:0.58261186,y:0.35038182,z:-0.025403935
x:0.55035174,y:0.35809466,z:0.012959585
x:0.54894984,y:0.35820764,z:0.013023989
x:0.57146543,y:0.3490237,z:-0.015900716
x:0.55838484,y:0.34502843,z:-0.008637338
x:0.57026297,y:0.34804758,z:-0.016945496
x:0.5516931,y:0.3243754,z:-0.009581935
x:0.5358916,y:0.32643798,z:-0.005882263
x:0.5557376,y:0.33937168,z:-0.015371169
x:0.5238534,y:0.26458853,z:-0.01862001
x:0.5290392,y:0.27492455,z:-0.025976418
x:0.53004855,y:0.2854394,z:-0.030656466
x:0.5449154,y:0.3670382,z:0.01778991
x:0.5691135,y:0.29210585,z:-0.0412474
x:0.57215726,y:0.27674338,z:-0.0445678
x:0.5712725,y:0.26209205,z:-0.045541022
x:0.52677083,y:0.3083635,z:-0.0042685764
x:0.50542027,y:0.31055772,z:0.010555156
x:0.5644027,y:0.31028524,z:-0.008995139
x:0.5153996,y:0.29786325,z:-0.0044617895
x:0.56797224,y:0.32033336,z:-0.018534137
x:0.5626313,y:0.34132504,z:-0.03228804
x:0.49486962,y:0.31285986,z:0.02206922
x:0.51048625,y:0.31557772,z:0.0050306944
x:0.5216088,y:0.31926528,z:-0.0016736183
x:0.539378,y:0.31997126,z:-0.005306202
x:0.5523722,y:0.3187819,z:-0.00789311
x:0.5614589,y:0.31756037,z:-0.011277915
x:0.5808815,y:0.3158371,z:-0.031486563
x:0.49419475,y:0.32408643,z:0.025661552
x:0.50861806,y:0.29624012,z:-0.0014947173
x:0.5785151,y:0.34949696,z:-0.037726633
x:0.561263,y:0.3286852,z:-0.014798686
x:0.48653924,y:0.29612607,z:0.06829722
x:0.5682793,y:0.31614274,z:-0.014040146
x:0.554716,y:0.33866504,z:-0.0065942886
x:0.51984596,y:0.3015524,z:7.586518E-5
