x:0.43371773,y:0.38707614,z:-0.015059193
x:0.412683,y:0.37506488,z:-0.040708214
x:0.42316657,y:0.37675554,z:-0.018261762
x:0.39757636,y:0.35985762,z:-0.032253433
x:0.40782374,y:0.3708883,z:-0.04486444
x:0.40426356,y:0.36413142,z:-0.043868087
x:0.3976095,y:0.34606993,z:-0.029321304
x:0.35880342,y:0.34863475,z:0.027513629
x:0.38854516,y:0.33340243,z:-0.028680788
x:0.382174,y:0.32750154,z:-0.03302205
x:0.36333877,y:0.30206513,z:-0.033933003
x:0.4356249,y:0.38898107,z:-0.013358274
x:0.43825826,y:0.39070114,z:-0.010155703
x:0.4407335,y:0.39175844,z:-0.0054657185
x:0.4409311,y:0.39184874,z:-0.004056588
x:0.44258144,y:0.39452204,z:-0.0038217327
x:0.44513592,y:0.39738703,z:-0.0041099642
x:0.44852033,y:0.4000408,z:-0.0012436644
x:0.45498747,y:0.40233183,z:0.008952961
x:0.41660824,y:0.37652647,z:-0.035925712
x:0.41266835,y:0.37675586,z:-0.022119079
x:0.332197,y:0.3342803,z:0.070541926
x:0.37829542,y:0.34754062,z:0.011358446
x:0.3729551,y:0.34960276,z:0.015457735
x:0.36753082,y:0.35140508,z:0.020681482
x:0.35846275,y:0.3506196,z:0.030943938
x:0.38190165,y:0.34549797,z:0.008162994
x:0.35920763,y:0.3398144,z:0.00924475
x:0.36652416,y:0.33865532,z:0.004458688
x:0.35377347,y:0.34175983,z:0.015571604
x:0.3516839,y:0.34397888,z:0.021208126
x:0.3569045,y:0.35474223,z:0.037975356
x:0.43975228,y:0.4104274,z:0.033078983
x:0.35632583,y:0.3483514,z:0.03091547
x:0.3491999,y:0.35339886,z:0.0831814
x:0.3496666,y:0.35180375,z:0.048252046
x:0.38918653,y:0.37288973,z:0.012162647
x:0.4261492,y:0.38745573,z:-0.009949315
x:0.4325918,y:0.39158085,z:-0.00512767
x:0.4224021,y:0.3893233,z:-1.1153393E-4
x:0.42090786,y:0.39103934,z:0.009970666
x:0.4288866,y:0.39210203,z:0.0019606843
x:0.4264066,y:0.39259258,z:0.0105827125
x:0.42115062,y:0.39786717,z:0.030545395
x:0.40742165,y:0.3759821,z:-0.037747618
x:0.40202394,y:0.37222376,z:-0.041220624
x:0.3407631,y:0.34197772,z:0.025819827
x:0.39204052,y:0.35810292,z:3.5673066E-4
x:0.39836836,y:0.37498197,z:-0.010618297
x:0.39687857,y:0.37219754,z:-0.008654054
x:0.37261197,y:0.37528017,z:0.03270891
x:0.39910352,y:0.36579618,z:-0.03786149
x:0.34749871,y:0.33667806,z:7.303637E-4
x:0.341988,y:0.33899447,z:0.012931264
x:0.32609862,y:0.32700944,z:0.047511894
x:0.3755744,y:0.33452415,z:-0.019528557
x:0.3737148,y:0.33858284,z:0.004038796
