x:0.49385098,y:0.33544213,z:-0.02816191
x:0.4923267,y:0.3158179,z:-0.051264394
x:0.49233964,y:0.32245383,z:-0.027324257
x:0.48742074,y:0.296982,z:-0.03745986
x:0.4929635,y:0.3097177,z:-0.05444748
x:0.49418837,y:0.30226737,z:-0.05049375
x:0.49742702,y:0.28428465,z:-0.024325456
x:0.43464217,y:0.28201255,z:0.0185624
x:0.49959433,y:0.26975757,z:-0.017691242
x:0.5005759,y:0.26166335,z:-0.019416807
x:0.50470054,y:0.2310985,z:-0.008158744
x:0.49360973,y:0.33822924,z:-0.02707296
x:0.4930947,y:0.3411638,z:-0.02395689
x:0.49275717,y:0.34296945,z:-0.019634597
x:0.49288312,y:0.3466659,z:-0.017942537
x:0.49265057,y:0.3492269,z:-0.019400055
x:0.49227244,y:0.35208774,z:-0.021192633
x:0.49174294,y:0.3553992,z:-0.019517327
x:0.48803303,y:0.36123574,z:-0.010001582
x:0.49233317,y:0.31913584,z:-0.046406
x:0.48482665,y:0.31911993,z:-0.03285277
x:0.402456,y:0.2579433,z:0.06781643
x:0.4589832,y:0.28698394,z:0.0066844746
x:0.4497203,y:0.28732365,z:0.0081084855
x:0.4410223,y:0.2869162,z:0.011450723
x:0.43033442,y:0.28422233,z:0.020321473
x:0.46706918,y:0.28587583,z:0.0070949253
x:0.4471711,y:0.26994917,z:0.0042678444
x:0.45786738,y:0.27068257,z:0.003482544
x:0.43707812,y:0.27095747,z:0.008154556
x:0.43067902,y:0.27351883,z:0.01252292
x:0.42168093,y:0.28788736,z:0.025447913
x:0.45384288,y:0.36836034,z:0.0033610845
x:0.4316038,y:0.2808445,z:0.022013534
x:0.3950797,y:0.2841704,z:0.07056393
x:0.41205013,y:0.28384903,z:0.036052603
x:0.4478577,y:0.31135565,z:-0.0029275988
x:0.48130777,y:0.33393216,z:-0.025950504
x:0.48158288,y:0.34072208,z:-0.02166172
x:0.46836907,y:0.3357353,z:-0.019182265
x:0.45997745,y:0.33782,z:-0.011149167
x:0.4716674,y:0.34060144,z:-0.016912224
x:0.46414927,y:0.340887,z:-0.00952412
x:0.4472443,y:0.34822196,z:0.0048332606
x:0.48496577,y:0.3155021,z:-0.049924146
x:0.48425102,y:0.3096871,z:-0.052738667
x:0.41794577,y:0.26823625,z:0.01675307
x:0.46904916,y:0.29713547,z:-0.005013356
x:0.46584243,y:0.31428912,z:-0.02477779
x:0.4654224,y:0.31126776,z:-0.021778991
x:0.4198122,y:0.31033576,z:0.0115261115
x:0.4858576,y:0.30276927,z:-0.04677457
x:0.43933812,y:0.2609936,z:-0.0017517429
x:0.42677528,y:0.26347995,z:0.006923206
x:0.41305974,y:0.2471384,z:0.048382867
x:0.47949904,y:0.26593125,z:-0.013226548
x:0.46701437,y:0.2733577,z:0.0056583495
x:0.44118428,y:0.34196487,z:0.0073881038
x:0.40382335,y:0.340907,z:0.09455433
x:0.47267675,y:0.317841,z:-0.021778991
x:0.47957194,y:0.31981006,z:-0.023538062
x:0.45085496,y:0.3414793,z:0.0059222104
x:0.45339504,y:0.34166104,z:0.0028815279
x:0.4221475,y:0.26006806,z:0.01206221
x:0.4656041,y:0.31700087,z:-0.019634597
x:0.45635813,y:0.2611253,z:-0.008627831
x:0.4547916,y:0.25654414,z:-0.010420409
x:0.45153055,y:0.23327927,z:0.008477054
x:0.41858378,y:0.25338894,z:0.02740802
x:0.4557638,y:0.2452073,z:-0.0017213778
x:0.4128682,y:0.26606306,z:0.025481418
x:0.40773344,y:0.26189095,z:0.045099262
x:0.48116866,y:0.33754998,z:-0.024828048
x:0.46987844,y:0.33831748,z:-0.018495388
x:0.46192938,y:0.33935186,z:-0.011165921
x:0.47477716,y:0.31899765,z:-0.020036671
x:0.45205802,y:0.34156936,z:0.0042825034
x:0.4566608,y:0.34388754,z:-0.0018533083
x:0.45459518,y:0.34182644,z:0.002523431
x:0.47624752,y:0.31562224,z:-0.03504742
x:0.4659875,y:0.34188965,z:-0.008091733
