x:0.57446396,y:0.35821563,z:-0.012271914
x:0.57701945,y:0.34774232,z:-0.044648424
x:0.5753188,y:0.35022026,z:-0.018838277
x:0.5730344,y:0.3284056,z:-0.04140437
x:0.578246,y:0.34279233,z:-0.04979907
x:0.57962173,y:0.33508378,z:-0.04940068
x:0.5827614,y:0.3149267,z:-0.035229284
x:0.519127,y:0.30419073,z:-0.004232921
x:0.5855801,y:0.30041426,z:-0.035627678
x:0.5871819,y:0.29336196,z:-0.041375913
x:0.59344864,y:0.26337516,z:-0.0466973
x:0.5742475,y:0.36006954,z:-0.010066526
x:0.5738045,y:0.36191064,z:-0.0065805917
x:0.5735999,y:0.36305737,z:-0.0013925955
x:0.57384914,y:0.36294276,z:2.6191754E-5
x:0.57362086,y:0.36550382,z:3.999488E-4
x:0.57334715,y:0.36831975,z:-2.6344598E-4
x:0.57293737,y:0.37125665,z:0.002319214
x:0.5676786,y:0.37636504,z:0.012499567
x:0.5763386,y:0.34963435,z:-0.039042473
x:0.5673808,y:0.34790587,z:-0.026834587
x:0.4894147,y:0.27645156,z:0.023533618
x:0.5450367,y:0.3109304,z:-0.010607203
x:0.5357833,y:0.31085834,z:-0.010080755
x:0.5268928,y:0.31003457,z:-0.008024764
x:0.51540005,y:0.3052029,z:-0.0019617276
x:0.552569,y:0.31039047,z:-0.0097108185
x:0.53230596,y:0.294446,z:-0.018824048
x:0.5431327,y:0.29595822,z:-0.018767135
x:0.5225199,y:0.2947943,z:-0.015764963
x:0.5162781,y:0.29643667,z:-0.011916206
x:0.5074587,y:0.30771455,z:0.0036602318
x:0.5345808,y:0.38041624,z:0.027019553
x:0.5161272,y:0.3017691,z:-0.002018641
x:0.48050785,y:0.2997578,z:0.039526235
x:0.49780118,y:0.30221432,z:0.010066526
x:0.5322907,y:0.33363378,z:-0.0071675093
x:0.5628107,y:0.35620627,z:-0.011966006
x:0.56293225,y:0.36065322,z:-0.0055774963
x:0.5515414,y:0.35589167,z:-0.0064169657
x:0.54402095,y:0.35572442,z:0.0010386663
x:0.55380434,y:0.35923693,z:-0.0021449171
x:0.5466923,y:0.35806313,z:0.00436809
x:0.5297457,y:0.36199674,z:0.019848486
x:0.5698278,y:0.3470145,z:-0.04419312
x:0.5698086,y:0.34199417,z:-0.0490592
x:0.5048308,y:0.2913502,z:-0.013353266
x:0.5537842,y:0.32217064,z:-0.014448845
x:0.55009043,y:0.3409451,z:-0.023789726
x:0.55012673,y:0.33753663,z:-0.022295754
x:0.50483894,y:0.32944536,z:0.0022818646
x:0.571535,y:0.33488452,z:-0.046924956
x:0.5257403,y:0.28924906,z:-0.029765615
x:0.51345146,y:0.28919864,z:-0.022779519
x:0.5005305,y:0.26929298,z:0.0021680382
x:0.5646625,y:0.2977531,z:-0.034204848
x:0.5520442,y:0.29922843,z:-0.015309657
x:0.5238485,y:0.35658017,z:0.018710222
x:0.4828548,y:0.34622175,z:0.09180103
x:0.5555246,y:0.3444694,z:-0.018937875
x:0.56178653,y:0.34656042,z:-0.018013036
x:0.5338164,y:0.35521257,z:0.018240688
x:0.53565085,y:0.35583094,z:0.015992615
x:0.5096315,y:0.28528285,z:-0.020801784
x:0.5490816,y:0.34211075,z:-0.017771155
x:0.5423032,y:0.29163218,z:-0.033777997
x:0.5414168,y:0.28762463,z:-0.03804649
x:0.539571,y:0.2620703,z:-0.03559922
x:0.5064767,y:0.27764022,z:-0.011645869
x:0.5434471,y:0.27496597,z:-0.038018033
