x:0.5429374,y:0.3099252,z:-0.034866832
x:0.5423943,y:0.28972185,z:-0.051409036
x:0.5434023,y:0.29772764,z:-0.030723466
x:0.53317165,y:0.27484816,z:-0.0327717
x:0.54171085,y:0.2841023,z:-0.053097654
x:0.5411838,y:0.27797812,z:-0.04712495
x:0.54014075,y:0.26445556,z:-0.015353915
x:0.47199816,y:0.2726291,z:0.025251092
x:0.5390359,y:0.25327155,z:-0.00440526
x:0.5381665,y:0.24600038,z:-0.0033029679
x:0.5344942,y:0.21788248,z:0.017918114
x:0.54338646,y:0.31230405,z:-0.034397773
x:0.5438487,y:0.31475285,z:-0.03195866
x:0.54417884,y:0.316502,z:-0.028815951
x:0.5446125,y:0.31746665,z:-0.029316284
x:0.54502195,y:0.3196356,z:-0.032302637
x:0.54530144,y:0.3224491,z:-0.03552352
x:0.5457581,y:0.325535,z:-0.035992578
x:0.5476292,y:0.33278173,z:-0.029707167
x:0.5429698,y:0.29343745,z:-0.047437657
x:0.5353054,y:0.29481503,z:-0.034835562
x:0.4369611,y:0.25427362,z:0.08042824
x:0.5004787,y:0.27290925,z:0.013422948
x:0.4909088,y:0.27418834,z:0.014353253
x:0.48163286,y:0.27502537,z:0.017370876
x:0.46746415,y:0.274598,z:0.02603286
x:0.50842386,y:0.27101964,z:0.014439248
x:0.48571372,y:0.25999394,z:0.013673115
x:0.49600565,y:0.25987455,z:0.013735657
x:0.47568598,y:0.26151267,z:0.016776731
x:0.46904513,y:0.26431495,z:0.020513581
x:0.46037862,y:0.27770987,z:0.029894792
x:0.51303804,y:0.347442,z:-0.020294685
x:0.46840042,y:0.27256098,z:0.028800318
x:0.43459544,y:0.2793913,z:0.074111566
x:0.4498562,y:0.2749421,z:0.041120976
x:0.4944559,y:0.29364628,z:-0.004526434
x:0.529777,y:0.30950838,z:-0.033053134
x:0.5322414,y:0.31523383,z:-0.030098053
x:0.51702815,y:0.31260473,z:-0.027299324
x:0.5090851,y:0.31583855,z:-0.020028885
x:0.52253395,y:0.3164504,z:-0.025657611
x:0.5148827,y:0.31789792,z:-0.018809328
x:0.5008931,y:0.32708248,z:-0.009537564
x:0.5348201,y:0.29024497,z:-0.05028329
x:0.53307,y:0.28497213,z:-0.05162793
x:0.45568013,y:0.258816,z:0.026048495
x:0.5130467,y:0.27951708,z:-0.001124768
x:0.5133754,y:0.29258704,z:-0.026189212
x:0.51219326,y:0.29032275,z:-0.022452364
x:0.46443814,y:0.29621738,z:0.009232675
