x:0.5067445,y:0.32809553,z:-0.036019795
x:0.5073407,y:0.30559847,z:-0.056875233
x:0.5068992,y:0.31395796,z:-0.032755
x:0.49827626,y:0.28694758,z:-0.038678017
x:0.50729537,y:0.29893318,z:-0.059301533
x:0.5072061,y:0.29138514,z:-0.05352124
x:0.5066347,y:0.2741268,z:-0.020587835
x:0.4318657,y:0.2779518,z:0.02119441
x:0.50642836,y:0.25846896,z:-0.010213636
x:0.5062694,y:0.24951655,z:-0.010186875
x:0.50557137,y:0.21820536,z:0.008117388
x:0.5068481,y:0.33018202,z:-0.03541322
x:0.5069477,y:0.33218828,z:-0.032576595
x:0.5070115,y:0.3334723,z:-0.028794426
x:0.50821894,y:0.34341216,z:-0.026064843
x:0.50847316,y:0.34565693,z:-0.028669544
x:0.50876725,y:0.34870422,z:-0.031309925
x:0.5089346,y:0.35207474,z:-0.030257339
x:0.50605094,y:0.35726008,z:-0.021444175
x:0.50725466,y:0.30961546,z:-0.052201048
x:0.4988771,y:0.3105502,z:-0.03835689
x:0.38894993,y:0.25473288,z:0.07821237
x:0.46020234,y:0.28216478,z:0.0089112865
x:0.44953015,y:0.28289464,z:0.009919269
x:0.43938082,y:0.28265253,z:0.013148384
x:0.42699587,y:0.28051803,z:0.022425398
x:0.4698161,y:0.28024685,z:0.0104544815
x:0.44569257,y:0.26311758,z:0.007996965
x:0.45813653,y:0.2635646,z:0.008130768
x:0.4342082,y:0.26474366,z:0.011578428
x:0.42666355,y:0.2680747,z:0.015708484
x:0.4171964,y:0.28444672,z:0.027099587
x:0.4669153,y:0.36847627,z:-0.011391103
x:0.42852458,y:0.2767996,z:0.025119301
x:0.38445777,y:0.28359574,z:0.07507245
x:0.40587705,y:0.2807695,z:0.038963463
x:0.45282975,y:0.30621395,z:-0.0069622207
x:0.4921366,y:0.32720062,z:-0.034253594
x:0.49396095,y:0.33231202,z:-0.030756872
x:0.47800133,y:0.33007303,z:-0.02797377
x:0.46873668,y:0.3332705,z:-0.019731496
x:0.48288468,y:0.3335301,z:-0.026029162
x:0.47440034,y:0.33518934,z:-0.018241823
x:0.45678762,y:0.34566584,z:-0.004932874
x:0.49906603,y:0.30572847,z:-0.055840496
x:0.49775654,y:0.2994846,z:-0.05790998
x:0.41168985,y:0.26268804,z:0.021444175
x:0.47488752,y:0.29036695,z:-0.004678648
x:0.47598574,y:0.30673358,z:-0.030168138
x:0.47456226,y:0.30394498,z:-0.026475172
x:0.4188354,y:0.3073905,z:0.0073145693
x:0.49797654,y:0.2924136,z:-0.05020292
x:0.43649572,y:0.25330323,z:0.004266089
x:0.4218117,y:0.256626,z:0.012568571
x:0.40107715,y:0.24161193,z:0.060086507
x:0.4829392,y:0.2569908,z:-0.006605413
x:0.46883738,y:0.26628774,z:0.010659647
x:0.44860616,y:0.33904806,z:-0.0017974215
x:0.39843655,y:0.3465826,z:0.08763211
x:0.48401177,y:0.31022155,z:-0.027099587
x:0.49238214,y:0.3120176,z:-0.028651701
x:0.45903686,y:0.33920544,z:-0.0024998877
x:0.46217155,y:0.3390759,z:-0.0053075226
x:0.4162923,y:0.2532994,z:0.018678913
x:0.47557846,y:0.3100328,z:-0.02508362
x:0.45603123,y:0.25279552,z:-0.002247892
x:0.45407018,y:0.24780677,z:-0.0031755934
x:0.44556883,y:0.22324404,z:0.021854507
x:0.40997353,y:0.246813,z:0.036394443
x:0.45285597,y:0.23485526,z:0.008848844
x:0.40566555,y:0.26069453,z:0.031220721
x:0.39744145,y:0.2575309,z:0.05323579
x:0.49284673,y:0.33000043,z:-0.033629175
x:0.48037964,y:0.33196318,z:-0.027509917
x:0.47135648,y:0.3342734,z:-0.01989206
