x:0.60295284,y:0.37623978,z:-0.007703007
x:0.6053313,y:0.36490285,z:-0.04061223
x:0.6023036,y:0.36680725,z:-0.015019866
x:0.5998813,y:0.34731466,z:-0.04130463
x:0.60662115,y:0.36067632,z:-0.04628462
x:0.6073858,y:0.35361788,z:-0.047110185
x:0.6083549,y:0.33438906,z:-0.03770945
x:0.53727597,y:0.32567468,z:-0.013242248
x:0.6100083,y:0.3214148,z:-0.041384526
x:0.6113601,y:0.3150306,z:-0.048468363
x:0.6153286,y:0.28606963,z:-0.058694653
x:0.60229915,y:0.37778303,z:-0.005199697
x:0.6013356,y:0.37919867,z:-0.0013856426
x:0.6004094,y:0.38013542,z:0.004750299
x:0.6003123,y:0.38001305,z:0.0056690676
x:0.60015327,y:0.38204837,z:0.0073834355
x:0.59943414,y:0.3844297,z:0.0075631947
x:0.5982986,y:0.38668075,z:0.011038536
x:0.5934045,y:0.39063826,z:0.02223686
x:0.6042613,y:0.36631584,z:-0.03493983
x:0.5945781,y:0.364697,z:-0.023661613
x:0.50563383,y:0.29736286,z:0.00580888
x:0.5653911,y:0.3302082,z:-0.016990557
x:0.5562108,y:0.33034116,z:-0.016950611
x:0.5468645,y:0.3298702,z:-0.0155658005
x:0.5328472,y:0.3264049,z:-0.010945328
x:0.5729201,y:0.3293747,z:-0.015872058
x:0.55529135,y:0.3175432,z:-0.027935885
x:0.5652061,y:0.31892785,z:-0.02729674
x:0.5452831,y:0.31735578,z:-0.025339365
x:0.53805,y:0.3184965,z:-0.021677608
x:0.52577084,y:0.3282692,z:-0.0054693352
x:0.56018364,y:0.39413545,z:0.03496646
x:0.5336261,y:0.3246248,z:-0.011671022
x:0.50010973,y:0.31893817,z:0.026031772
x:0.51653904,y:0.32360268,z:-8.7133195E-4
x:0.5580532,y:0.35179865,z:-0.008348809
x:0.59307086,y:0.37443608,z:-0.008102472
x:0.5916197,y:0.37799886,z:-0.0011268229
x:0.58222526,y:0.37404805,z:-0.0035053012
x:0.574156,y:0.37360865,z:0.0027130297
x:0.58276445,y:0.37670037,z:0.0011651048
x:0.57550555,y:0.37544134,z:0.006567863
x:0.5563697,y:0.3788069,z:0.021717556
x:0.5981274,y:0.36430493,z:-0.040585596
x:0.5980291,y:0.36010405,z:-0.046018314
x:0.52808374,y:0.3123124,z:-0.025552414
x:0.5781256,y:0.34053922,z:-0.017456599
x:0.57630163,y:0.3584274,z:-0.022662953
x:0.5760174,y:0.3552416,z:-0.021717556
x:0.5305988,y:0.34836105,z:-0.0019041143
x:0.5990803,y:0.35347256,z:-0.045299277
x:0.5520425,y:0.3099957,z:-0.04071875
x:0.5386468,y:0.31017438,z:-0.03470015
x:0.51714647,y:0.29125983,z:-0.015818795
x:0.5901753,y:0.3173259,z:-0.041624203
x:0.5730287,y:0.32116047,z:-0.023195574
x:0.55095035,y:0.3744745,z:0.019320767
x:0.5047627,y:0.36037767,z:0.087402835
x:0.58192563,y:0.36150533,z:-0.017203605
x:0.5884852,y:0.36352676,z:-0.015299491
x:0.5625011,y:0.37266082,z:0.018535154
x:0.5641664,y:0.3731818,z:0.0165112
x:0.5348349,y:0.30642155,z:-0.033794697
x:0.5754725,y:0.35948652,z:-0.0165112
x:0.5687331,y:0.31199768,z:-0.043222062
x:0.5686114,y:0.30809614,z:-0.0480689
x:0.55920726,y:0.28516218,z:-0.051291242
x:0.5250078,y:0.29982102,z:-0.02685733
x:0.564511,y:0.2977986,z:-0.050838515
x:0.52288073,y:0.30930486,z:-0.021065095
x:0.51341325,y:0.30424264,z:-0.009174368
x:0.5922827,y:0.3763359,z:-0.005559215
x:0.5825481,y:0.3753755,z:-0.0013190651
x:0.574729,y:0.37446252,z:0.0041178134
x:0.58357227,y:0.36226577,z:-0.014540508
x:0.56344014,y:0.37292394,z:0.017443283
x:0.5680561,y:0.3752572,z:0.014753557
x:0.56499904,y:0.3734423,z:0.016391361
x:0.58723265,y:0.36181644,z:-0.030092992
x:0.57577807,y:0.37604785,z:0.009367443
x:0.58301824,y:0.37754634,z:0.0064746537
x:0.5913226,y:0.37907112,z:0.004603829
x:0.58227706,y:0.3897634,z:0.021571083
x:0.5884763,y:0.38547832,z:0.010219634
x:0.58951473,y:0.3831049,z:0.0070572067
x:0.5906502,y:0.3808538,z:0.0069573405
x:0.5914384,y:0.37895402,z:0.0055026235
x:0.5758751,y:0.37617022,z:0.010026559
x:0.5748612,y:0.37686488,z:0.010692333
x:0.57361573,y:0.37779373,z:0.010845462
x:0.5723516,y:0.37896204,z:0.01312241
x:0.5634939,y:0.36950654,z:0.0015695627
x:0.4967876,y:0.33552977,z:0.07866788
x:0.6033865,y:0.3665941,z:-0.022396645
x:0.5704254,y:0.3749559,z:0.013601767
x:0.56935185,y:0.37504932,z:0.014141044
x:0.59110713,y:0.3654509,z:-0.013568478
x:0.5772197,y:0.3616889,z:-0.0076564034
x:0.58990026,y:0.3645214,z:-0.014833449
x:0.5686062,y:0.3422832,z:-0.013202302
x:0.55306643,y:0.34465802,z:-0.010106452
x:0.57411003,y:0.35645396,z:-0.015632378
x:0.53442985,y:0.2870388,z:-0.03555234
x:0.5415147,y:0.2973501,z:-0.04023939
x:0.5502227,y:0.30599222,z:-0.04276933
x:0.5630755,y:0.38305113,z:0.02093194
x:0.5899097,y:0.31117165,z:-0.049613494
x:0.5875483,y:0.2990878,z:-0.05539241
x:0.5852442,y:0.28490612,z:-0.05858813
x:0.537859,y:0.32844806,z:-0.0131090935
x:0.51531416,y:0.33040982,z:5.796397E-4
x:0.57745993,y:0.32858726,z:-0.015286175
x:0.5281938,y:0.31909257,z:-0.015792165
x:0.58499384,y:0.33860978,z:-0.021930601
x:0.58215946,y:0.35851222,z:-0.031717483
x:0.5086038,y:0.33168343,z:0.011524552
x:0.5209651,y:0.33450803,z:-0.0034686837
x:0.53284746,y:0.3373208,z:-0.008615118
x:0.55135536,y:0.33789825,z:-0.010965301
x:0.5647656,y:0.33685026,z:-0.0128161535
x:0.5745715,y:0.33553323,z:-0.015778849
x:0.5992577,y:0.33482394,z:-0.034833305
x:0.5094302,y:0.34225988,z:0.017150344
x:0.521553,y:0.31742898,z:-0.013834788
x:0.59970856,y:0.3659034,z:-0.03493983
x:0.57852805,y:0.346307,z:-0.016844086
x:0.4955651,y:0.3143275,z:0.05310215
x:0.5824759,y:0.33398926,z:-0.018561784
x:0.57278734,y:0.35564157,z:-0.0070505487
x:0.5299416,y:0.3233342,z:-0.0103195
x:0.58203775,y:0.35461068,z:-0.03054572
x:0.4996928,y:0.34747714,z:0.08505931
x:0.57702607,y:0.327317,z:-0.0151397055
x:0.59042746,y:0.3536785,z:-0.0398133
x:0.5241399,y:0.37849003,z:0.053235304
x:0.5227635,y:0.38109502,z:0.07248949
x:0.49985462,y:0.3392642,z:0.04716344
x:0.5139601,y:0.3702614,z:0.057629414
x:0.5060949,y:0.3105693,z:0.010006586
x:0.55733025,y:0.3979035,z:0.043834575
x:0.5997916,y:0.36620536,z:-0.022156967
x:0.5700261,y:0.34867588,z:-0.011684337
x:0.5081943,y:0.32327643,z:0.0068508163
x:0.5483473,y:0.32726786,z:-0.016524514
x:0.5570551,y:0.327723,z:-0.017762855
x:0.56675094,y:0.3755848,z:0.016431307
x:0.51025784,y:0.3514569,z:0.028495135
x:0.5707944,y:0.404354,z:0.052516267
x:0.54635245,y:0.39511308,z:0.060185984
x:0.5356085,y:0.38932955,z:0.065245874
x:0.61346364,y:0.30038813,z:-0.054913055
x:0.58805686,y:0.4058603,z:0.052542903
x:0.564528,y:0.32760784,z:-0.01774954
x:0.57117754,y:0.32711247,z:-0.016524514
x:0.5752309,y:0.3270927,z:-0.015166336
x:0.51489633,y:0.31528518,z:-0.0070838374
x:0.5700993,y:0.32726574,z:-0.020612368
x:0.56238556,y:0.32773483,z:-0.023208888
x:0.5548156,y:0.32772762,z:-0.023448568
x:0.54645044,y:0.32698104,z:-0.021544453
x:0.5406534,y:0.32611802,z:-0.018654993
x:0.49888384,y:0.30460322,z:0.030252779
x:0.5420088,y:0.32651138,z:-0.014766871
x:0.6012184,y:0.3697793,z:-0.010665703
x:0.572763,y:0.36823624,z:-0.003958028
x:0.5822636,y:0.3612738,z:-0.021464558
x:0.58932734,y:0.3691255,z:-0.010572494
x:0.6089348,y:0.32696617,z:-0.03661758
x:0.53518796,y:0.38584048,z:0.051584188
x:0.5457536,y:0.39185947,z:0.048601516
x:0.571689,y:0.40245685,z:0.040052976
x:0.51276964,y:0.37185135,z:0.08138424
x:0.5747959,y:0.3272019,z:-0.017629702
x:0.5920329,y:0.34268233,z:-0.031824008
x:0.58935845,y:0.4042131,z:0.040558964
x:0.55766594,y:0.40043083,z:0.054859795
x:0.50202066,y:0.34975386,z:0.055232625
x:0.5832311,y:0.3775516,z:0.007256939
x:0.5820546,y:0.37896198,z:0.008169049
x:0.5808595,y:0.3806118,z:0.008348809
x:0.57983977,y:0.38274577,z:0.010965301
x:0.571415,y:0.3868559,z:0.020053118
x:0.5694173,y:0.37421125,z:0.011484605
x:0.5685063,y:0.37358898,z:0.010905381
x:0.567697,y:0.37302917,z:0.010119768
x:0.5558667,y:0.37159717,z:0.009027898
x:0.5221034,y:0.35678783,z:0.014753557
x:0.5922,y:0.3364488,z:-0.027935885
x:0.585963,y:0.32483894,z:-0.022117019
x:0.57967484,y:0.32480344,z:-0.019746862
x:0.57032835,y:0.37483355,z:0.013215618
x:0.5193425,y:0.36619604,z:0.03661758
x:0.5955819,y:0.32591638,z:-0.031850636
x:0.56529063,y:0.3901832,z:0.02809567
x:0.6076734,y:0.3472074,z:-0.043621525
x:0.5993818,y:0.34142452,z:-0.039200783
x:0.60804397,y:0.34109885,z:-0.04071875
x:0.5844573,y:0.34957242,z:-0.026484497
x:0.59082836,y:0.4004109,z:0.03217021
x:0.5920819,y:0.39528382,z:0.027589682
x:0.578322,y:0.39398405,z:0.027669577
x:0.5473181,y:0.38002262,z:0.02780273
x:0.56403047,y:0.35854393,z:-0.0032539715
x:0.55520743,y:0.38549563,z:0.028788077
x:0.5424515,y:0.35633117,z:-0.001998987
x:0.5546526,y:0.36257052,z:8.863119E-4
x:0.5337128,y:0.36241278,z:0.009527229
x:0.5743202,y:0.39880326,z:0.032037053
x:0.5785012,y:0.3507447,z:-0.01869494
x:0.5389711,y:0.3824553,z:0.038135547
x:0.54921746,y:0.38846642,z:0.038614903
x:0.54158527,y:0.37424302,z:0.02296921
x:0.5117438,y:0.3590508,z:0.038668167
x:0.52977544,y:0.37323135,z:0.030598981
x:0.50582045,y:0.35980403,z:0.060718607
x:0.5465974,y:0.36740953,z:0.008382097
x:0.5851834,y:0.3443723,z:-0.02384803
x:0.5847347,y:0.36103496,z:-0.032569673
x:0.5787014,y:0.360466,z:-0.02223686
x:0.5897797,y:0.35924038,z:-0.039493725
x:0.58025247,y:0.32013947,z:-0.028415242
x:0.5666983,y:0.3162058,z:-0.03270283
x:0.5540353,y:0.3145133,z:-0.03307566
x:0.54274064,y:0.31441402,z:-0.02972016
x:0.53388786,y:0.31581458,z:-0.02435402
x:0.52454865,y:0.3234408,z:-0.006983971
x:0.49879193,y:0.3289818,z:0.036803998
x:0.5303634,y:0.33090177,z:-0.0077362964
x:0.54064304,y:0.33307517,z:-0.010951985
x:0.5534919,y:0.33375263,z:-0.012902704
x:0.5651526,y:0.33326116,z:-0.014047835
x:0.5740838,y:0.3322224,z:-0.014660348
x:0.58022463,y:0.33141455,z:-0.015659008
x:0.4955729,y:0.3244639,z:0.06817528
x:0.57845116,y:0.36093962,z:-0.01731013
x:0.5919266,y:0.34813765,z:-0.034646887
x:0.59153044,y:0.36276236,z:-0.037869237
x:0.59469855,y:0.36452004,z:-0.03217021
x:0.5907808,y:0.36280382,z:-0.033421867
x:0.58018076,y:0.36200202,z:-0.01300257
x:0.5967662,y:0.36535087,z:-0.033954483
x:0.5967428,y:0.36565018,z:-0.022876002
x:0.5807414,y:0.3275288,z:-0.0153927
x:0.5857047,y:0.32951078,z:-0.018668309
x:0.5892014,y:0.33115664,z:-0.022982525
x:0.53666085,y:0.32535958,z:-0.015619063
x:0.53236645,y:0.3202753,z:-0.016324783
x:0.61455804,y:0.3477974,z:-0.03954699
x:0.6676045,y:0.32937604,z:-1.8371208E-4
x:0.61223,y:0.36531326,z:-0.022316752
x:0.69766384,y:0.30492854,z:0.025126318
x:0.6401362,y:0.331576,z:-0.008535225
x:0.64835757,y:0.33279884,z:-0.0068075415
x:0.6568572,y:0.33318886,z:-0.0039014367
x:0.6696815,y:0.33008716,z:0.0028861312
x:0.6340947,y:0.3297473,z:-0.009181026
x:0.65803343,y:0.32086256,z:-0.017296813
x:0.6485339,y:0.3209876,z:-0.018907987
x:0.6665097,y:0.32155192,z:-0.013062489
x:0.6713022,y:0.32298988,z:-0.008435359
x:0.674626,y:0.3323086,z:0.009513914
x:0.62012684,y:0.3952573,z:0.04074538
x:0.67132103,y:0.3282084,z:0.0020123024
x:0.6940974,y:0.32601243,z:0.046364512
x:0.68397224,y:0.32732156,z:0.015885372
x:0.6428054,y:0.35473332,z:-8.540634E-5
x:0.61186063,y:0.37550032,z:-0.0061018206
x:0.6092388,y:0.37903416,z:6.8824406E-4
x:0.6183243,y:0.37601995,z:7.2819047E-4
x:0.62234956,y:0.37635937,z:0.008615118
x:0.6151387,y:0.3785802,z:0.0047602854
x:0.6196552,y:0.37809208,z:0.011471289
x:0.6307394,y:0.38088512,z:0.029373957
x:0.61217034,y:0.36471203,z:-0.039467093
x:0.614515,y:0.36063153,z:-0.04468676
x:0.6839159,y:0.317124,z:-0.009713646
x:0.62905926,y:0.34233806,z:-0.011963963
x:0.6290538,y:0.36015123,z:-0.017696278
x:0.62940335,y:0.35704103,z:-0.016604409
x:0.6657666,y:0.3529018,z:0.012090459
x:0.6148213,y:0.3539816,z:-0.043594897
x:0.66749895,y:0.31434909,z:-0.029640267
x:0.6781013,y:0.31512097,z:-0.020905308
x:0.69412255,y:0.29839343,z:0.0015504217
x:0.6296435,y:0.31848145,z:-0.037869237
x:0.63990796,y:0.32221386,z:-0.016391361
x:0.63786834,y:0.37698287,z:0.02865492
x:0.6671959,y:0.36463273,z:0.10497928
x:0.62255514,y:0.36280954,z:-0.013635056
x:0.6162377,y:0.36451268,z:-0.013481927
x:0.62817466,y:0.3768632,z:0.026630968
x:0.6265503,y:0.37718293,z:0.023634985
x:0.6826902,y:0.310976,z:-0.019147666
x:0.6281182,y:0.3612077,z:-0.011657706
x:0.65218484,y:0.31520006,z:-0.035605602
x:0.65430963,y:0.3112041,z:-0.040292654
x:0.6658027,y:0.2896564,z:-0.04133126
x:0.68863326,y:0.30587488,z:-0.010718965
x:0.65912294,y:0.3014568,z:-0.041943774
x:0.6886685,y:0.31361285,z:-0.004227666
x:0.69357324,y:0.31088516,z:0.009067845
x:0.6107532,y:0.37739223,z:-0.0035951806
x:0.61682856,y:0.37742245,z:0.0025698885
x:0.6211041,y:0.37728822,z:0.00943402
x:0.620477,y:0.3634779,z:-0.011591128
x:0.6273046,y:0.37708163,z:0.0249399
x:0.62386525,y:0.37879592,z:0.021025147
x:0.6256802,y:0.37740132,z:0.023315413
x:0.6202045,y:0.36287138,z:-0.026710862
x:0.61821556,y:0.37877622,z:0.014074467
x:0.61357397,y:0.3795012,z:0.009900062
x:0.60767406,y:0.3799551,z:0.00648797
x:0.603987,y:0.39030007,z:0.02338199
x:0.60684973,y:0.38641232,z:0.012143721
x:0.6077817,y:0.38403624,z:0.009074503
x:0.60805655,y:0.38188386,z:0.008914717
x:0.60756767,y:0.3799525,z:0.0073568053
x:0.61810917,y:0.3787736,z:0.0147136105
x:0.6193301,y:0.37952352,z:0.015406014
x:0.6200973,y:0.38062206,z:0.015765533
x:0.620323,y:0.3818272,z:0.018401999
x:0.63198704,y:0.37173942,z:0.008422043
x:0.68304867,y:0.34187326,z:0.0986411
x:0.6217836,y:0.3781447,z:0.019600391
x:0.62293553,y:0.37841308,z:0.020186273
x:0.6128954,y:0.36634934,z:-0.011744257
x:0.624859,y:0.3633463,z:-0.0038614902
x:0.6145619,y:0.36549088,z:-0.013075805
x:0.63602114,y:0.3446693,z:-0.005832182
x:0.648766,y:0.3480432,z:-9.513289E-5
x:0.6295133,y:0.35836327,z:-0.01037942
x:0.68429196,y:0.29320228,z:-0.021371352
x:0.67801917,y:0.30252367,z:-0.02729674
x:0.67124814,y:0.3100334,z:-0.031184863
x:0.6234163,y:0.38454267,z:0.027176902
x:0.6333038,y:0.31257418,z:-0.045618847
x:0.63825035,y:0.3011208,z:-0.050758623
x:0.6436939,y:0.28740054,z:-0.05358151
x:0.6648259,y:0.33218628,z:-7.729222E-5
x:0.6820966,y:0.33495232,z:0.017176975
x:0.6308845,y:0.32852834,z:-0.009327496
x:0.6783073,y:0.32340294,z:-5.9170683E-4
x:0.62466085,y:0.33995017,z:-0.017523177
x:0.6256576,y:0.35994732,z:-0.027669577
x:0.6865593,y:0.3378816,z:0.030279411
x:0.6757629,y:0.33959398,z:0.012090459
x:0.6650904,y:0.34244898,z:0.004673735
x:0.6495903,y:0.34158602,z:-8.2722446E-4
x:0.6389131,y:0.33904296,z:-0.0051231324
x:0.63161325,y:0.3369432,z:-0.010039874
x:0.6160629,y:0.33535928,z:-0.032942507
x:0.68192846,y:0.34802327,z:0.035685495
x:0.68441653,y:0.32163468,z:0.002739661
x:0.6086433,y:0.36618423,z:-0.034034375
x:0.6275508,y:0.34799862,z:-0.0116510475
x:0.6939991,y:0.3218116,z:0.073821045
x:0.62633073,y:0.33495334,z:-0.014087781
x:0.6294677,y:0.35758242,z:-0.0017975903
x:0.67418617,y:0.3270197,z:0.0040978403
x:0.62595695,y:0.35611618,z:-0.02644455
x:0.6760064,y:0.352855,z:0.10402056
x:0.631737,y:0.32716995,z:-0.0089080585
x:0.62094694,y:0.35473278,z:-0.03683063
x:0.6520423,y:0.38117182,z:0.066737205
x:0.6484404,y:0.38360184,z:0.08585823
x:0.685549,y:0.34535378,z:0.067269824
x:0.66199666,y:0.3738607,z:0.07344821
x:0.6945393,y:0.3176265,z:0.029400589
x:0.6198462,y:0.39884904,z:0.05011948
x:0.6070236,y:0.3664441,z:-0.021597715
x:0.63329524,y:0.35089958,z:-0.005319536
x:0.6901961,y:0.32681566,z:0.025219526
x:0.6572571,y:0.33079964,z:-0.005003293
x:0.64918315,y:0.33042014,z:-0.0075765103
x:0.6245728,y:0.37929323,z:0.023195574
x:0.67655843,y:0.35670722,z:0.046204727
x:0.60434514,y:0.40482348,z:0.055765245
x:0.6268723,y:0.39626375,z:0.068654634
x:0.63667697,y:0.39086822,z:0.076058045
x:0.64213705,y:0.32916638,z:-0.009034556
x:0.6361786,y:0.3276396,z:-0.009034556
x:0.632917,y:0.32707918,z:-0.008422043
x:0.68974924,y:0.3188876,z:0.010765568
x:0.63905203,y:0.32771063,z:-0.013069147
x:0.64661145,y:0.329217,z:-0.014354092
x:0.6545369,y:0.33013263,z:-0.01312241
x:0.6617969,y:0.3300122,z:-0.009813512
x:0.66631806,y:0.32946423,z:-0.0060518873
x:0.6977248,y:0.31233728,z:0.050492316
x:0.6632728,y:0.33022863,z:-0.0022852698
x:0.62561226,y:0.3700824,z:0.0012782865
x:0.62310594,y:0.36258322,z:-0.017949272
x:0.6123973,y:0.36999565,z:-0.008461989
x:0.6409735,y:0.38773564,z:0.06247625
x:0.63063675,y:0.39311802,z:0.057096798
x:0.606401,y:0.40307498,z:0.043408476
x:0.6580579,y:0.3751428,z:0.097043246
x:0.6343005,y:0.32711336,z:-0.010805516
x:0.6201094,y:0.34361625,z:-0.028814707
x:0.6165636,y:0.40128693,z:0.060984913
x:0.67903066,y:0.35508895,z:0.074353665
x:0.6134676,y:0.37949854,z:0.01067236
x:0.6144289,y:0.38084182,z:0.011730941
x:0.6146172,y:0.38252583,z:0.0120971175
x:0.614236,y:0.38467562,z:0.014886711
x:0.614622,y:0.38792393,z:0.024513807
x:0.6233203,y:0.3775829,z:0.017629702
x:0.6244219,y:0.37713033,z:0.017709594
x:0.62553287,y:0.376558,z:0.017390022
x:0.636279,y:0.37412465,z:0.017669648
x:0.667245,y:0.3612752,z:0.029693529
x:0.62037826,y:0.33744523,z:-0.024833377
x:0.6271351,y:0.32465708,z:-0.01816232
x:0.631813,y:0.3248327,z:-0.013967942
x:0.6217836,y:0.3781447,z:0.019240873
x:0.6631427,y:0.37011045,z:0.051530924
x:0.6201055,y:0.3259228,z:-0.02945385
x:0.61765915,y:0.39135775,z:0.03304903
x:0.61533093,y:0.3419987,z:-0.037602924
x:0.6239068,y:0.3509674,z:-0.022716217
x:0.6052559,y:0.39452985,z:0.0300131
x:0.63713753,y:0.38224283,z:0.03661758
x:0.63560045,y:0.36097282,z:0.0033471796
x:0.6279024,y:0.3871726,z:0.035712127
x:0.6539154,y:0.35992607,z:0.008701668
x:0.64186186,y:0.36544597,z:0.009254262
x:0.6574777,y:0.36619183,z:0.02173087
x:0.6066816,y:0.39948326,z:0.035126247
x:0.62698716,y:0.352483,z:-0.0139812585
x:0.64175814,y:0.38451624,z:0.048361834
x:0.6307735,y:0.39000255,z:0.046417776
x:0.64522076,y:0.37704468,z:0.033741437
x:0.6711066,y:0.36370978,z:0.05539241
x:0.65326786,y:0.3764039,z:0.043168798
x:0.67169833,y:0.36432418,z:0.0787744
x:0.64573056,y:0.37051973,z:0.01833542
x:0.62378156,y:0.34574625,z:-0.0196936
x:0.62292117,y:0.3622188,z:-0.02886797
x:0.62645644,y:0.3620063,z:-0.01804248
x:0.62072957,y:0.36024535,z:-0.03659095
x:0.6351938,y:0.3211377,z:-0.022942578
x:0.6497618,y:0.31891876,z:-0.024620328
x:0.6620517,y:0.3185628,z:-0.022423275
x:0.6711665,y:0.31926793,z:-0.016897349
x:0.6768103,y:0.32072693,z:-0.010039874
x:0.6780173,y:0.3271144,z:0.00837544
x:0.690781,y:0.3357068,z:0.057576153
x:0.669719,y:0.3350662,z:0.006364801
x:0.6606113,y:0.33700025,z:0.0013198974
x:0.6492335,y:0.33659908,z:-0.002839527
x:0.63935155,y:0.3347954,z:-0.006135109
x:0.63257444,y:0.33282852,z:-0.008688353
x:0.6280872,y:0.33157805,z:-0.010758911
x:0.68854964,y:0.3315132,z:0.08878765
x:0.6254612,y:0.3624615,z:-0.013222275
x:0.619892,y:0.3491288,z:-0.031664222
x:0.6178118,y:0.36347198,z:-0.03549908
x:0.6129983,y:0.36503237,z:-0.030812029
x:0.61737674,y:0.36358118,z:-0.030998446
x:0.6229294,y:0.36347854,z:-0.009567175
x:0.6112348,y:0.3657685,z:-0.03280935
x:0.60993433,y:0.36603624,z:-0.021943917
x:0.6291642,y:0.32734627,z:-0.010193003
x:0.624739,y:0.32939607,z:-0.014793503
x:0.6223218,y:0.33167544,z:-0.019800125
x:0.6691318,y:0.32893398,z:-0.0024816734
x:0.67438257,y:0.32450548,z:-0.0023601695
x:0.5589941,y:0.32747105,z:-0.017454103
x:0.56705874,y:0.32797027,z:-0.017454103
x:0.55949223,y:0.32382473,z:-0.017454103
x:0.55071664,y:0.32696655,z:-0.017454103
x:0.558496,y:0.33111736,z:-0.017454103
x:0.6505584,y:0.3291946,z:-0.007383371
x:0.6569203,y:0.32965174,z:-0.007383371
x:0.65169036,y:0.32562393,z:-0.007383371
x:0.64398366,y:0.3287322,z:-0.007383371
x:0.64921355,y:0.33276,z:-0.007383371
